PID,Archive
P109555,dead animal
P118614,dead animal
P127258,dead animal
P103015,wild animal
P103032,wild animal
P103488,wild animal
P103623,wild animal
P103626,wild animal
P103660,wild animal
P103935,wild animal
P104062,wild animal
P104112,wild animal
P104324,wild animal
P105214,wild animal
P106024,wild animal
P107889,wild animal
P115599,wild animal
P117261,wild animal
P122586,wild animal
P122786,wild animal
P122818,wild animal
P123256,wild animal
P123888,wild animal
P123963,wild animal
P124086,wild animal
P124922,wild animal
P125456,wild animal
P126066,wild animal
P126073,wild animal
P128634,wild animal
P128929,wild animal
P130614,wild animal
P130624,wild animal
P144242,wild animal
P144257,wild animal
P145502,wild animal
P210475,wild animal
P303638,wild animal
P211669,wild animal
P467845,wild animal
P100230,domesticated animal
P100292,domesticated animal
P100342,domesticated animal
P100346,domesticated animal
P100375,domesticated animal
P100377,domesticated animal
P100378,domesticated animal
P100501,domesticated animal
P100584,domesticated animal
P100591,domesticated animal
P100608,domesticated animal
P100615,domesticated animal
P100616,domesticated animal
P100617,domesticated animal
P100618,domesticated animal
P100623,domesticated animal
P100625,domesticated animal
P100627,domesticated animal
P100628,domesticated animal
P100641,domesticated animal
P100643,domesticated animal
P100644,domesticated animal
P100645,domesticated animal
P100653,domesticated animal
P100656,domesticated animal
P100658,domesticated animal
P100661,domesticated animal
P100670,domesticated animal
P100672,domesticated animal
P100675,domesticated animal
P100761,domesticated animal
P100771,domesticated animal
P100810,domesticated animal
P100815,domesticated animal
P100837,domesticated animal
P100987,domesticated animal
P100999,domesticated animal
P101014,domesticated animal
P101313,domesticated animal
P101320,domesticated animal
P101334,domesticated animal
P101410,domesticated animal
P101411,domesticated animal
P101427,domesticated animal
P101440,domesticated animal
P101566,domesticated animal
P101775,domesticated animal
P101791,domesticated animal
P101858,domesticated animal
P101864,domesticated animal
P101874,domesticated animal
P101889,domesticated animal
P102017,domesticated animal
P102140,domesticated animal
P102192,domesticated animal
P102312,domesticated animal
P102455,domesticated animal
P102503,domesticated animal
P102509,domesticated animal
P102693,domesticated animal
P102694,domesticated animal
P102701,domesticated animal
P102713,domesticated animal
P102716,domesticated animal
P102722,domesticated animal
P102852,domesticated animal
P102917,domesticated animal
P102933,domesticated animal
P103021,domesticated animal
P103023,domesticated animal
P103031,domesticated animal
P103099,domesticated animal
P103102,domesticated animal
P103106,domesticated animal
P103133,domesticated animal
P103140,domesticated animal
P103231,domesticated animal
P103303,domesticated animal
P103309,domesticated animal
P103342,domesticated animal
P103376,domesticated animal
P103395,domesticated animal
P103451,domesticated animal
P103501,domesticated animal
P103535,domesticated animal
P103536,domesticated animal
P103540,domesticated animal
P103625,domesticated animal
P103677,domesticated animal
P464283,domesticated animal
P103720,domesticated animal
P103723,domesticated animal
P103730,domesticated animal
P103746,domesticated animal
P103773,domesticated animal
P103779,domesticated animal
P103830,domesticated animal
P103840,domesticated animal
P103845,domesticated animal
P103864,domesticated animal
P103876,domesticated animal
P103884,domesticated animal
P103903,domesticated animal
P103908,domesticated animal
P103924,domesticated animal
P103932,domesticated animal
P103942,domesticated animal
P103950,domesticated animal
P103952,domesticated animal
P103985,domesticated animal
P104011,domesticated animal
P104012,domesticated animal
P104048,domesticated animal
P104068,domesticated animal
P104086,domesticated animal
P104101,domesticated animal
P104109,domesticated animal
P104110,domesticated animal
P104125,domesticated animal
P104140,domesticated animal
P104148,domesticated animal
P104182,domesticated animal
P104203,domesticated animal
P104206,domesticated animal
P104207,domesticated animal
P104227,domesticated animal
P104230,domesticated animal
P104269,domesticated animal
P104270,domesticated animal
P104312,domesticated animal
P104347,domesticated animal
P104375,domesticated animal
