,name,role,p_index
1,ab-ba-kal-la,['source'],100041
2,lu₂-dingir-ra,['source'],100189
3,ur-nigar{gar},['recipient'],100189
4,nu-i₃-da,['new owner'],100190
5,na-sa₆,['source'],100190
6,lu₂-dingir-ra,['source'],100191
7,ur-nigar{gar},['recipient'],100191
8,lu₂-dingir-ra,['source'],100211
9,ur-nigar{gar},['recipient'],100211
10,šu-{d}nin-šubur,['authorized'],100215
11,zu-ba-ga,['source'],100215
12,ad-da-kal-la,['intermediary'],100215
13,na-sa₆,"['new owner', 'recipient', 'recipient']",100217
14,ab-ba-sa₆-ga,['source'],100218
15,na-sa₆,"['new owner', 'recipient', 'recipient']",100219
16,ARAD₂-mu,['authorized'],100220
17,{d}šul-gi-a-a-mu,['source'],100220
18,lugal,['new owner'],100221
19,na-sa₆,['source'],100221
20,ur-{d}suen,['recipient'],100221
21,eš₃-nun-na{ki},['source'],100222
22,in-ta-e₃-a,"['new owner', 'recipient', 'recipient']",100222
23,na-sa₆,['source'],100223
24,dingir-ba-ni,['recipient'],100224
25,na-sa₆,['source'],100224
26,ur-ku₃-nun-na,['source'],100227
27,lu₂-ša-lim,['intermediary'],100227
28,šeš-da-da,['new owner'],100228
29,ur-du₆,['new owner'],100228
30,{d}nanna-igi-du,['authorized'],100229
31,in-ta-e₃-a,['source'],100229
32,{d}nanna-ma-ba,['intermediary'],100229
33,dingir-dan,['authorized'],100230
34,lu₂-dingir-ra,['source'],100230
35,ARAD₂-mu,['authorized'],100231
36,nu-ur₂-{d}suen,['intermediary'],100231
37,ab-ba-sa₆-ga,"['new owner', 'recipient']",100232
38,ab-ba-sa₆-ga,['source'],100259
39,in-ta-e₃-a,['recipient'],100259
40,er₃-ra-na-da,"['new owner', 'authorized', 'authorized']",100260
41,na-sa₆,['source'],100260
42,e₂-a-i₃-li₂,['new owner'],100261
43,na-sa₆,['source'],100261
44,ab-ba-sa₆-ga,['source'],100262
45,u₂-ta₂-mi-šar-ra-am,['recipient'],100262
46,kal-{d}šul-gi,['intermediary'],100262
47,ab-ba-sa₆-ga,['source'],100264
48,u₂-ta₂-mi-šar-ra-am,['recipient'],100264
49,lu₂-dingir-ra,['source'],100265
50,ur-nigar{gar},['recipient'],100265
51,lu₂-dingir-ra,['recipient'],100266
52,{d}šul-gi-si₂-im-tum,['new owner'],100267
53,{d}šul-gi-a-a-mu,['source'],100268
54,ur-nigar{gar},['recipient'],100268
55,{d}šul-gi-a-a-mu,['source'],100269
56,{d}šul-gi-iri-mu,['recipient'],100269
57,{d}šul-gi-si₂-im-tum,['new owner'],100270
58,ur-{d}lugal-edin-na,['recipient'],100270
59,{d}šul-gi-si₂-im-tum,['new owner'],100271
60,a₂#-bi₂-la-tum,['recipient'],100271
61,ab-ba-sa₆-ga,['source'],100272
62,a-hu-we-er,['recipient'],100272
63,{d}šul-gi-i₃-li₂,['source'],100273
64,lugal-am-gal,['intermediary'],100281
65,du₁₁-ga,['source'],100287
66,a₂-bi₂-li₂-a,['source'],100296
67,{d}en-lil₂-la₂,['source'],100297
68,ur-{d}gu-la-ma,['source'],100317
69,ur-{d}[...],['recipient'],100317
70,{d}šul-gi-iri-mu,['source'],100320
71,ab-ba-sa₆-ga,"['new owner', 'recipient']",100320
72,en-{d}nanše-ki-ag₂,['authorized'],100327
73,ab-ba-sa₆-ga,['source'],100327
74,lugal,['new owner'],100328
75,in-ta-e₃-a,['recipient'],100328
76,nu-ur₂-{d}suen,['intermediary'],100328
77,ba-na-x,['intermediary'],100329
78,a-bi₂-e₂,['intermediary'],100329
79,a-za-ak-za-gaz,['intermediary'],100329
80,še-er-ha-num₂,['intermediary'],100329
81,i-ri-ib,['intermediary'],100329
82,e-la-ak-nu-id,['intermediary'],100329
83,ab-ba-sa₆-ga,['source'],100329
84,nu-ur₂-{d}suen,['recipient'],100329
85,ab-ba-sa₆-ga,['source'],100330
86,ab-ba-sa₆-ga,"['new owner', 'recipient', 'recipient']",100331
87,puzur₄-{d}en-lil₂,['source'],100332
88,er₃-re-šum,['intermediary'],100332
89,na-lu₅,['source'],100335
90,ur-nigar{gar},['recipient'],100335
91,lu₂-dingir-ra,['source'],100336
92,na-sa₆,['recipient'],100336
93,ur-nigar{gar},['recipient'],100337
94,ur-nigar{gar},['recipient'],100338
95,ur-nigar[{gar}],['recipient'],100339
96,ur-mes,['intermediary'],100342
97,na-ra-am-i₃-li₂,['source'],100346
98,lu₂-sa₆-i₃-zu,['recipient'],100564
99,nigar{gar}-ki-du₁₀,['intermediary'],100591
100,la-ni-mu,['recipient'],100608
101,ARAD₂-e₂-ninnu,['recipient'],100616
102,lu₂-{d}er₃-ra,['source'],100617
103,ha-lu₅-lu₅,['recipient'],100617
104,ur-{d}suen,['source'],100618
105,ur-{d}[...],['new owner'],100618
106,gu-du-du,['source'],100625
107,lugal-mas-su,['intermediary'],100628
108,dam-gar₃,['source'],100643
109,ur-ba-gara₂,['recipient'],100643
110,ARAD₂,['source'],100644
111,lugal-e-ba-<an>-sa₆,['recipient'],100644
112,bu₃-u₂-du,['source'],100645
113,lugal-e-ba-an-sa₆,['recipient'],100645
114,nin₉-tur-tur-ra,['source'],100656
115,si-NE-e,['source'],100656
116,[...]-la,['source'],100658
117,{d}šara₂-a-zi,['source'],100661
118,ARAD₂,['source'],100673
119,lu₂-sa₆-i₃-zu,['recipient'],100673
120,tir,['source'],100675
121,lu₂-bulug₃-ga₂,['recipient'],100678
122,ur-e₁₁-e,['source'],100681
123,ba-sa₆,['recipient'],100681
124,ur-{d}šara₂,['recipient'],100691
125,{d}šara₂-i₃-sa₆,['recipient'],100691
126,ur-ru,['source'],100699
127,a-kal-la,['recipient'],100699
128,ab-ba-gi-na,['intermediary'],100739
129,sagi-ne,['intermediary'],100746
130,giri₃-ni-i₃-sa₆,"['source', 'source']",100751
131,giri₃-ni-i₃-sa₆-ta,['recipient'],100751
132,da-umma{ki},['recipient'],100752
133,da-da-ga,['source'],100768
134,ur-{d}dumu-zi-da,['recipient'],100768
135,lugal-{geš}kiri₆,['source'],100769
136,a-kal-la,['recipient'],100769
137,{d}šara₂-za-me,['source'],100771
138,sipa,['source'],100775
139,lunga,['source'],100776
140,da-da-ga,['recipient'],100776
141,ki-lu₅-la,['source'],100782
142,ma-an-ba,['source'],100782
143,nigar{gar}-ki-du₁₀,['source'],100782
144,a-kal-la,['source'],100782
145,ur-{geš}gigir,['source'],100783
146,da-da-ga,['recipient'],100783
147,na-silim,['source'],100784
148,da-da-ga,['recipient'],100784
149,lugal-ušurₓ(|LAL₂.TUG₂|),"['source', 'source']",100792
150,gu-du-du,['recipient'],100792
151,uš-mu,['source'],100794
152,uš-mu,['source'],100795
153,gu-du-du,['recipient'],100795
154,gu-du-du,['recipient'],100797
155,šeš-kal-la,['intermediary'],100797
156,šeš-kal-la,['intermediary'],100798
157,[lugal]-ezem,['recipient'],100799
158,da-da-ga,['recipient'],100810
159,ur-e₁₁-e,['source'],100811
160,ur-ama-na,['source'],100819
161,ur-{d}iškur,['recipient'],100819
162,gu-du-du,['recipient'],100837
163,ad-da-sa₆-ga,['intermediary'],100967
164,ARAD₂-mu,['authorized'],100967
165,šu-ma-ma,['source'],100967
166,ur-nigar{gar},['recipient'],100974
167,ARAD₂-mu,['authorized'],100975
168,na-sa₆,['source'],100975
169,lugal,['new owner'],100976
170,na-sa₆,['source'],100976
171,šu-{d}idim,['recipient'],100976
172,šagina,['source'],100977
173,la-muš-ta,['intermediary'],100977
174,na-sa₆,"['new owner', 'recipient']",100977
175,ur#-nigar#{gar},['new owner'],100978
176,za-a-an-nu-um,['new owner'],100978
177,ku-na-ma#-tum,['new owner'],100978
178,a-a-kal-la,['authorized'],100978
179,ur-nigar{gar},['recipient'],100978
180,na-sa₆#,['source'],100978
181,na-lu₅,['source'],100980
182,na-sa₆,['recipient'],100980
183,ab-ba-sa₆-ga,"['new owner', 'recipient', 'recipient']",100982
184,lugal,['new owner'],100983
185,ab-ba-sa₆-ga,['recipient'],100983
186,šu-ab-ba,['intermediary'],100984
187,ARAD₂-mu,['authorized'],100984
188,zu-ba-ga,['source'],100984
189,ARAD₂-mu,['authorized'],100985
190,ur-ku₃-nun-na,['source'],100985
191,nu-ur₂-{d}iškur,['intermediary'],100985
192,{d}nanna-igi-du,['authorized'],100986
193,ur-sukkal,['intermediary'],100986
194,ARAD₂-mu,['authorized'],100986
195,tu-ra-am-{d}da-gan,['authorized'],100986
196,a]-ba-{d}en-lil₂-gin₇,['source'],100986
197,lu₂-{d}nin-šubur,['intermediary'],100986
198,lu₂-{d}en-lil₂,['intermediary'],100987
199,lugal-ma₂-gur₈-re,['authorized'],100990
200,{d}šul-gi-si₂-im-ti,['new owner'],100992
201,a₂-bi₂-li₂-a,['recipient'],100992
202,a₂-bi₂-li₂-a,['source'],100993
203,ab-ba-sa₆-ga,['source'],100994
204,a-hu-we-er,['recipient'],100994
205,ab-ba-sa₆-ga,['source'],100995
206,be-li₂-a-ri-ik,['recipient'],100996
207,na-sa₆,['source'],100997
208,a-hu-ni,['source'],100998
209,ur-nigar{gar},['recipient'],100998
210,en-dingir-mu,['source'],101000
211,ur-nigar{gar},['recipient'],101000
212,lugal-inim-gi-na,['intermediary'],101001
213,na-sa₆,"['source', 'source']",101001
214,{d}en-lil₂-la₂,['recipient'],101001
215,na-lu₅,['source'],101002
216,{d}šul-gi-iri-mu,['recipient'],101002
217,lugal,['new owner'],101003
218,ab-ba-sa₆-ga,['source'],101003
219,{d}nanna-zi-ša₃-gal₂,['recipient'],101003
220,ab-ba-sa₆-ga,['source'],101004
221,{d}šul-gi-a-a-mu,['recipient'],101004
222,ab-ba-sa₆-ga,['source'],101005
223,na-lu₅,['recipient'],101005
224,ab-ba-sa₆-ga,['source'],101006
225,in-ta-e₃-a,['recipient'],101006
226,ab-ba-sa₆-ga,['source'],101007
227,ab-ba-sa₆-ga,['source'],101008
228,in-ta-e₃-a,['recipient'],101008
229,ab-ba-sa₆-ga,['source'],101009
230,in-ta-e₃-a,['recipient'],101009
231,ab-ba-sa₆-ga,['source'],101010
232,in-ta-e₃-a,['recipient'],101010
233,{d}nanna-ma-ba,['source'],101011
234,ab-ba-sa₆-ga,['source'],101013
235,lu₂-sa₆-ga,['intermediary'],101013
236,al-lu,['source'],101014
237,a₂-bi₂-li₂-a,"['new owner', 'recipient']",101015
238,a₂!-na-na,['intermediary'],101016
239,a-ba-{d}en-lil₂-gin₇,['source'],101016
240,lu₂-{d}nin-šubur,['intermediary'],101016
241,zu₂-ga-li,['source'],101017
242,ur-ku₃-nun-na,['recipient'],101017
243,a-ba-{d}en-lil₂-gin₇,['source'],101019
