id,source,target,p_index,year,type,source's role,target's role
1,1,2,103370,{Amar-Suen.03.10.00},Undirected,,{'recipient'}
2,1,3,103370,{Amar-Suen.03.10.00},Undirected,,{'source'}
3,2,3,103370,{Amar-Suen.03.10.00},Undirected,{'recipient'},{'source'}
4,6,7,303606,{Shu-Suen.05.11.18 (us2 year)},Undirected,,{'intermediary'}
5,6,8,303606,{Shu-Suen.05.11.18 (us2 year)},Undirected,,
6,7,8,303606,{Shu-Suen.05.11.18 (us2 year)},Undirected,{'intermediary'},
7,14,15,218211,{Amar-Suen.06.03.00 ?},Undirected,,
8,14,16,218211,{Amar-Suen.06.03.00 ?},Undirected,,
9,15,16,218211,{Amar-Suen.06.03.00 ?},Undirected,,
10,19,20,108742,{Amar-Suen.05.10m.18 (intercalated) ?},Undirected,,
11,19,21,108742,{Amar-Suen.05.10m.18 (intercalated) ?},Undirected,,
12,20,21,108742,{Amar-Suen.05.10m.18 (intercalated) ?},Undirected,,
13,24,25,117468,{Amar-Suen.01.05.27 ?},Undirected,,
14,24,26,117468,{Amar-Suen.01.05.27 ?},Undirected,,
15,25,26,117468,{Amar-Suen.01.05.27 ?},Undirected,,
16,57,58,125945,"{Amar-Suen.01.05.06, Amar-Suen.01.05.29 ?}",Undirected,,
17,57,59,125945,"{Amar-Suen.01.05.06, Amar-Suen.01.05.29 ?}",Undirected,,
18,58,59,125945,"{Amar-Suen.01.05.06, Amar-Suen.01.05.29 ?}",Undirected,,
19,131,132,131601,{Ibbi-Suen.01.00.00},Undirected,{'source'},{'source'}
20,131,133,131601,{Ibbi-Suen.01.00.00},Undirected,{'source'},{'source'}
21,132,133,131601,{Ibbi-Suen.01.00.00},Undirected,{'source'},{'source'}
22,137,138,106225,,Undirected,,
23,137,139,106225,,Undirected,,
24,138,139,106225,,Undirected,,
25,147,148,129464,{Shulgi.42.12.00},Undirected,{'intermediary'},
26,147,149,129464,{Shulgi.42.12.00},Undirected,{'intermediary'},
27,148,149,129464,{Shulgi.42.12.00},Undirected,,
28,162,163,200999,{Shulgi.43.05.00},Undirected,,
29,162,164,200999,{Shulgi.43.05.00},Undirected,,
30,163,164,200999,{Shulgi.43.05.00},Undirected,,
31,216,217,105137,"{Shulgi.43.07.00, Shulgi.43.08.00, Shulgi.43.09.00, Shulgi.44.08.00, Shulgi.45.04.00, Shulgi.45.06.00, Shulgi.46.02.00}",Undirected,{'recipient'},
32,216,218,105137,"{Shulgi.43.07.00, Shulgi.43.08.00, Shulgi.43.09.00, Shulgi.44.08.00, Shulgi.45.04.00, Shulgi.45.06.00, Shulgi.46.02.00}",Undirected,{'recipient'},{'intermediary'}
33,217,218,105137,"{Shulgi.43.07.00, Shulgi.43.08.00, Shulgi.43.09.00, Shulgi.44.08.00, Shulgi.45.04.00, Shulgi.45.06.00, Shulgi.46.02.00}",Undirected,,{'intermediary'}
34,229,230,117609,{Amar-Suen.05.09.00},Directed,{'source'},
35,231,232,142868,"{Shulgi.47.03.00 (us2 year), Shulgi.47.05.00 (us2 year), Shulgi.47.12d.00 (intercalated) (us2 year), Shulgi.48.05.00 (us2-us2 year), Shulgi.48.06.00 (us2-us2 year), Shulgi.48.08.00 (us2-us2 year), Amar-Suen.01.09.00, Amar-Suen.01.10.00, Amar-Suen.01.11.00,}",Undirected,,
36,231,233,142868,"{Shulgi.47.03.00 (us2 year), Shulgi.47.05.00 (us2 year), Shulgi.47.12d.00 (intercalated) (us2 year), Shulgi.48.05.00 (us2-us2 year), Shulgi.48.06.00 (us2-us2 year), Shulgi.48.08.00 (us2-us2 year), Amar-Suen.01.09.00, Amar-Suen.01.10.00, Amar-Suen.01.11.00,}",Undirected,,{'intermediary'}
37,232,233,142868,"{Shulgi.47.03.00 (us2 year), Shulgi.47.05.00 (us2 year), Shulgi.47.12d.00 (intercalated) (us2 year), Shulgi.48.05.00 (us2-us2 year), Shulgi.48.06.00 (us2-us2 year), Shulgi.48.08.00 (us2-us2 year), Amar-Suen.01.09.00, Amar-Suen.01.10.00, Amar-Suen.01.11.00,}",Undirected,,{'intermediary'}
38,255,256,125757,{Shulgi.44.04m.00 (intercalated) =? Shulgi.45.04.00 (intercalated?) },Undirected,{'intermediary'},
39,255,257,125757,{Shulgi.44.04m.00 (intercalated) =? Shulgi.45.04.00 (intercalated?) },Undirected,{'intermediary'},
40,256,257,125757,{Shulgi.44.04m.00 (intercalated) =? Shulgi.45.04.00 (intercalated?) },Undirected,,
41,264,265,126168,{Shu-Suen.06.03.20 (us2-us2 year)},Undirected,,
42,264,266,126168,{Shu-Suen.06.03.20 (us2-us2 year)},Undirected,,{'intermediary'}
43,265,266,126168,{Shu-Suen.06.03.20 (us2-us2 year)},Undirected,,{'intermediary'}
44,280,281,129516,{Amar-Suen.09.00.00},Undirected,,
45,280,282,129516,{Amar-Suen.09.00.00},Undirected,,
46,281,282,129516,{Amar-Suen.09.00.00},Undirected,,
47,302,303,126313,,Undirected,,
48,302,304,126313,,Undirected,,
49,303,304,126313,,Undirected,,
50,451,450,122750,{Shu-Suen.07.09.17},Directed,{'source'},
51,451,452,122750,{Shu-Suen.07.09.17},Directed,{'source'},{'recipient'}
52,450,452,122750,{Shu-Suen.07.09.17},Directed,,{'recipient'}
53,453,454,113399,,Undirected,,
54,453,455,113399,,Undirected,,
55,454,455,113399,,Undirected,,
56,476,477,125973,"{Amar-Suen.04.01.00, Amar-Suen.04.12.00}",Undirected,{'recipient'},{'representative'}
57,476,478,125973,"{Amar-Suen.04.01.00, Amar-Suen.04.12.00}",Undirected,{'recipient'},
58,477,478,125973,"{Amar-Suen.04.01.00, Amar-Suen.04.12.00}",Undirected,{'representative'},
