Id,Label,text,fn,gf,clan,role,date,p_num
1,Nanaya-iddin,YOS 20 21,,,,neighbor,HE.SE.---.05.02,P296765
2,Anu-ittannu,YOS 20 21,Nanaya-iddin,,,neighbor,HE.SE.---.05.02,P296765
3,Kidin-Anu,YOS 20 21,Nanaya-iddin,,,neighbor,HE.SE.---.05.02,P296765
4,Anu-ušezib,YOS 20 21,Nanaya-iddin,,,neighbor,HE.SE.---.05.02,P296765
5,Šamaš-ittannu,YOS 20 21,Tanittu-Anu,,,neighbor,HE.SE.---.05.02,P296765
6,Anu-zer-lišir,YOS 20 21,Tanittu-Anu,,,neighbor,HE.SE.---.05.02,P296765
7,Nanaya-iddin,YOS 20 21,Belet-ade-hai,,,buyer,HE.SE.---.05.02,P296765
8,Anu-ah-ušabši,YOS 20 21,Nanaya-iddin,,,seller,HE.SE.---.05.02,P296765
9,Bani-apli,YOS 20 21,Apla,,Luštammar-Adad,witness,HE.SE.---.05.02,P296765
10,Anu-uballiṭ,YOS 20 21,Labaši,,Kuri,witness,HE.SE.---.05.02,P296765
11,Anu-ab-utir,YOS 20 21,Nidintu-Anu,,Hunzu,witness,HE.SE.---.05.02,P296765
12,Ina-qibit-Anu,YOS 20 21,Rihat-Ištar,,Kuri,witness,HE.SE.---.05.02,P296765
13,Anu-ahhe-iddin,YOS 20 21,Nanaya-ereš,,Ah'utu,witness,HE.SE.---.05.02,P296765
14,Anu-[...],YOS 20 21,Nidintu-Anu,,Luštammar-Adad,witness,HE.SE.---.05.02,P296765
15,Kidin,YOS 20 21,Ša-Anu-iššu,,Ekur-zakir,witness,HE.SE.---.05.02,P296765
16,Anu-uballiṭ,YOS 20 21,Anu-ah-ušabši,,Luštammar-Adad,witness,HE.SE.---.05.02,P296765
17,Bassia,YOS 20 21,Ištar-šum-ereš,,Ekur-zakir,witness,HE.SE.---.05.02,P296765
18,Labaši,YOS 20 21,Anu-zer-iddin,,Ekur-zakir,witness,HE.SE.---.05.02,P296765
19,Ubar,YOS 20 21,Mušezib-Anu,,Kuri,witness,HE.SE.---.05.02,P296765
20,Tattannu,YOS 20 21,Kidin-Anu,,Ekur-zakir,witness,HE.SE.---.05.02,P296765
21,Kidin-Anu,YOS 20 21,Dannat-Belti,,Luštammar-Adad,witness,HE.SE.---.05.02,P296765
22,Mukin-apli,YOS 20 21,Rihat-Anu,,,witness,HE.SE.---.'05.02,P296765
23,[...],YOS 20 21,,,,witness,HE.SE.---.05.02,P296765
24,Itti-Anu-nuhšu,YOS 20 21,Anu-belšunu,,Sin-leqi-unnini,,HE.SE.---.05.02,P296765
25,Ša-Anu-iššu,YOS 20 21,Ina-qibit-Anu,,,witness,HE.SE.---.05.02,P296765
26,Nanaya-iddin,YOS 20 14,Anu-belšunu,,,buyer,HE.SE.026.03.26,P303997
27,Maqartu,YOS 20 14,Kidin-Anu,,,neighbor,HE.SE.026.03.26,P303997
28,Anu-ušallim,YOS 20 14,Tanittu-Anu,,,neighbor,HE.SE.026.03.26,P303997
29,Tanittu-Anu,YOS 20 14,Iqiša,,Ah'utu,seller,HE.SE.026.03.26,P303997
30,Nidintu-Anu,YOS 20 14,Anu-balassu-iqbi,,Ah'utu,witness,HE.SE.026.03.26,P303997
31,Ina-qibit-Anu,YOS 20 14,Anu-balassu-iqbi,,Ah'utu,witness,HE.SE.026.03.26,P303997
32,Tanittu-Anu,YOS 20 14,Anu-ab-uṣur,,Kuri,witness,HE.SE.026.03.26,P303997
33,Ina-qibit-Anu,YOS 20 14,[...]-tu-Anu,,,witness,HE.SE.026.03.26,P303997
34,Anu-qišanni,YOS 20 14,Širki-Anu,,,witness,HE.SE.026.03.26,P303997
35,Anu-ab-utir,YOS 20 14,Anu-[...],,,witness,HE.SE.026.03.26,P303997
36,Tanittu-Anu,YOS 20 14,Anu-[...],,,witness,HE.SE.026.03.26,P303997
37,Nanaya-iddin,YOS 20 14,Mannu-ki-Ištar,,,witness,HE.SE.026.03.26,P303997
38,Anu-ah-ittannu,YOS 20 14,Ina-qibit-Anu,,,witness,HE.SE.026.03.26,P303997
39,Anu-uballiṭ,YOS 20 14,Anu-ah-ittannu,,,witness,HE.SE.026.03.26,P303997
40,Anu-[...],YOS 20 14,,,,witness,HE.SE.026.03.26,P303997
41,[...],YOS 20 14,,,,witness,HE.SE.026.03.26,P303997
42,Ina-qibit-Anu,YOS 20 14,,,,witness,HE.SE.026.03.26,P303997
43,Itti-Anu-nuhšu,YOS 20 14,Anu-belšunu,,,,HE.SE.026.03.26,P303997
