,Name,id_word,CDLI No,role,profession,Original date,Converted Date
0,ur-{d}dam-gal-nun-na[]PN,P142785.4.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
1,ur-{d}šul-pa-e₃[]PN,P142785.6.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
2,{d}šul-gi-i₃-li₂[]PN,P142785.16.1,P142785,recipient,,IS01 - 07 - 00,85.07
3,lu₂-giri₁₇-zal[]PN,P142785.17.2,P142785,intermediary,,IS01 - 07 - 00,85.07
4,{d}i-bi₂-{d}suen[]PN,P142785.19.2,P142785,,lugal[king]N,IS01 - 07 - 00,85.07
5,ur-{d}dam-gal-nun-na[]PN,P142785.23.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
6,ur-{d}šul-pa-e₃[]PN,P142785.25.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
7,{d}šul-gi-i₃-li₂[]PN,P142785.35.1,P142785,new owner,,IS01 - 07 - 00,85.07
8,lu₂-giri₁₇-zal[]PN,P142785.36.2,P142785,intermediary,,IS01 - 07 - 00,85.07
9,{d}i-bi₂-{d}suen[]PN,P142785.39.2,P142785,,lugal[king]N,IS01 - 07 - 00,85.07
10,{d}i-bi₂-{d}suen[]PN,P142785.42.1,P142785,,lugal[king]N,IS01 - 07 - 00,85.07
11,{d}šul-gi-i₃-li₂[]PN,P142785.47.1,P142785,,dubsar[scribe]N,IS01 - 07 - 00,85.07
12,šu-{d}šul-gi[]PN,P142787.3.3,P142787,,nubanda[overseer]N,SS05 - 06 - 12,80.0612
13,šu-i₃-li₂[]PN,P142787.4.3,P142787,,nubanda[overseer]N,SS05 - 06 - 12,80.0612
14,ur-{d}nin-kur-ra[]PN,P142787.9.1,P142787,,ensik[ruler]N,SS05 - 06 - 12,80.0612
15,lugal-a₂-zi-da[]PN,P142787.12.1,P142787,,šabra[administrator]N,SS05 - 06 - 12,80.0612
16,in-ta-e₃-a[]PN,P142787.19.1,P142787,recipient,,SS05 - 06 - 12,80.0612
17,nu-ur₂-{d}suen[]PN,P142787.20.2,P142787,intermediary,dubsar[scribe]N,SS05 - 06 - 12,80.0612
18,ba-na-nu-um[]PN,P142788.6.1,P142788,,nubanda[overseer]N,SH48 - 12 - 20,66.122
19,nir-i₃-da-gal₂[]PN,P142788.8.1,P142788,,,SH48 - 12 - 20,66.122
20,a-da-tum[]PN,P142788.10.3,P142788,,,SH48 - 12 - 20,66.122
21,ba-a-a[]PN,P142788.16.3,P142788,,nubanda[overseer]N,SH48 - 12 - 20,66.122
22,šu-eš₁₈-dar[]PN,P142788.17.3,P142788,,nubanda[overseer]N,SH48 - 12 - 20,66.122
23,ur-nigar{gar}[]PN,P142788.20.3,P142788,,,SH48 - 12 - 20,66.122
24,ARAD₂-mu[]PN,P142788.24.3,P142788,,,SH48 - 12 - 20,66.122
25,na-sa₆[]PN,P142788.26.2,P142788,new owner,,SH48 - 12 - 20,66.122
26,gu₃-de₂-a[]PN,P142789.6.3,P142789,,ensik[ruler]N,SS04 - XX - 15,79.0015
27,nir-i₃-da-gal₂[]PN,P142789.8.1,P142789,,,SS04 - XX - 15,79.0015
28,i-ti[]PN,P142789.10.3,P142789,,,SS04 - XX - 15,79.0015
29,in-ta-e₃-a[]PN,P142789.13.1,P142789,recipient,,SS04 - XX - 15,79.0015
30,nu-ur₂-{d}suen[]PN,P142789.15.2,P142789,intermediary,dubsar[scribe]N,SS04 - XX - 15,79.0015
31,ur-nigar{gar}[]PN,P142790.4.3,P142790,,,XXXX - 01 - 01,0.0101
32,ur-{d}lugal-banda₃{da}[]PN,P142790.8.1,P142790,,,XXXX - 01 - 01,0.0101
33,lu₂-{d}asar-lu₂-hi[]PN,P142790.9.3,P142790,,,XXXX - 01 - 01,0.0101
34,lu₂-dingir-ra[]PN,P142790.11.3,P142790,,,XXXX - 01 - 01,0.0101
35,bi₂-i₃-bi₂-a[]PN,P142790.12.3,P142790,,,XXXX - 01 - 01,0.0101
36,gu₃-de₂-a[]PN,P142790.13.3,P142790,,,XXXX - 01 - 01,0.0101
37,za-ni-a[]PN,P142790.14.3,P142790,,,XXXX - 01 - 01,0.0101
38,ur-{d}en-lil₂-la₂[]PN,P142790.15.3,P142790,,,XXXX - 01 - 01,0.0101
39,ur-{d}nin-a-zu[]PN,P142790.16.3,P142790,,,XXXX - 01 - 01,0.0101
40,šeš-kal-la[]PN,P142790.17.4,P142790,,,XXXX - 01 - 01,0.0101
41,ab-ba-sa₆-ga[]PN,P142790.20.1,P142790,new owner,,XXXX - 01 - 01,0.0101
42,ba-ba-an-še-en[]PN,P142791.5.1,P142791,representative,,AS06 - 11 - 19,72.1119
43,ARAD₂-mu[]PN,P142791.17.1,P142791,representative,,AS06 - 11 - 19,72.1119
44,na-lu₅-ta[]PN,P142791.19.2,P142791,source,,AS06 - 11 - 19,72.1119
45,ur-{d}šul-gi-ra[]PN,P142794.5.1,P142794,representative,,SH44 - 12 - 28,62.1228
46,a-hu-ni[]PN,P142799.17.1,P142799,recipient,,SH45 - 11 - 00,63.11
47,en-um-i₃-li₂[]PN,P142799.18.2,P142799,intermediary,,SH45 - 11 - 00,63.11
48,tu-ra-am-i₃-li₂[]PN,P142803.9.1,P142803,,,SS06 - 11d - 29,81.1129
49,na-bi₂-{d}suen[]PN,P142803.9.3,P142803,,,SS06 - 11d - 29,81.1129
50,me-{d}ištaran-e[]PN,P142803.12.2,P142803,,,SS06 - 11d - 29,81.1129
51,ARAD₂-mu[]PN,P142803.14.1,P142803,representative,,SS06 - 11d - 29,81.1129
52,ur-ku₃-nun-na-ta[]PN,P142803.16.2,P142803,source,,SS06 - 11d - 29,81.1129
53,{d}nanna-ma-ba[]PN,P142803.17.2,P142803,intermediary,dubsar[scribe]N,SS06 - 11d - 29,81.1129
54,ur-{d}nin-a-zu[]PN,P142805.18.1,P142805,,,XXXX - XX - 23,0.0023
55,u₂-na-ba-tal[]PN,P142805.28.2,P142805,,ensik[ruler]N,XXXX - XX - 23,0.0023
56,{d}en-lil₂-zi-ša₃-gal₂[]PN,P142805.57.1,P142805,recipient,,XXXX - XX - 23,0.0023
57,a-hu-we-er[]PN,P142805.61.1,P142805,recipient,,XXXX - XX - 23,0.0023
58,du-u₂-du[]PN,P142805.64.1,P142805,recipient,,XXXX - XX - 23,0.0023
59,ur-ku₃-nun-na[]PN,P142805.70.1,P142805,recipient,,XXXX - XX - 23,0.0023
60,uri₅{ki}-ki-du₁₀[]PN,P142805.72.2,P142805,,muhaldim[cook]N,XXXX - XX - 23,0.0023
61,me-{d}ištaran[]PN,P142807.10.1,P142807,,,SS07 - 02 - 00,82.02
62,in-ta-e₃-a-ta[]PN,P142807.14.2,P142807,source,,SS07 - 02 - 00,82.02
63,nu-ur₂-{d}suen[]PN,P142807.16.2,P142807,intermediary,dubsar[scribe]N,SS07 - 02 - 00,82.02
64,ur-šu-ga-lam-ma-ta[]PN,P142810.4.2,P142810,source,,SS03 - 00 - 00,78.0
65,na-ap-la-num₂[]PN,P142811.5.1,P142811,,,SS01 - 05 - 03+,76.0503
66,na-lu₅-ta[]PN,P142811.9.2,P142811,source,,SS01 - 05 - 03+,76.0503
67,lu₂-kar-zi-da[]PN,P142811.12.2,P142811,intermediary,dubsar[scribe]N,SS01 - 05 - 03+,76.0503
68,{d}šul-gi-mi-šar[]PN,P142812.5.2,P142812,intermediary,,AS03 - 08 - 00,69.08
69,nu-ur₂-{d}suen[]PN,P142812.10.1,P142812,recipient,,AS03 - 08 - 00,69.08
70,{d}en-lil₂-la₂[]PN,P142812.13.3,P142812,,,AS03 - 08 - 00,69.08
71,ab-ba-sa₆-ga-ta[]PN,P142813.5.2,P142813,source,,AS03 - 11d - 28,69.1128
72,in-ta-e₃-a[]PN,P142813.6.1,P142813,recipient,,AS03 - 11d - 28,69.1128
