id,source,target,p_index,year,type,source's role,target's role
1,1,1189,320501,,Undirected,,{'recipient'}
2,1,457,218177,"{Shulgi.43.04.01, Shulgi.43.04.30}",Undirected,,
3,1,2181,218177,"{Shulgi.43.04.01, Shulgi.43.04.30}",Undirected,,
4,457,2181,218177,"{Shulgi.43.04.01, Shulgi.43.04.30}",Undirected,,
5,3,884,104173,"{Shulgi.44.04.00, Shulgi.44.12d.00 (intercalated)}",Undirected,,{'intermediary'}
6,4,1543,126528,{Shu-Suen.08.11.03},Undirected,,{'source'}
7,4,2108,126528,{Shu-Suen.08.11.03},Undirected,,{'recipient'}
8,1543,2108,126528,{Shu-Suen.08.11.03},Undirected,{'source'},{'recipient'}
9,6,1646,105224,{Shulgi.43.10.00},Undirected,,{'source'}
10,6,203,416428,,Undirected,,{'source'}
11,2139,2139,103160,{Shulgi.45.09.00},Undirected,{'source'},{'source'}
12,8,20,103159,{Shulgi.45.08.00},Undirected,,{'representative'}
13,8,2246,103159,{Shulgi.45.08.00},Undirected,,{'recipient'}
14,20,2246,103159,{Shulgi.45.08.00},Undirected,{'representative'},{'recipient'}
15,8,2092,320863,{Amar-Suen.01.11.19},Undirected,,{'recipient'}
16,8,2108,320863,{Amar-Suen.01.11.19},Undirected,,{'recipient'}
17,2092,2108,320863,{Amar-Suen.01.11.19},Undirected,{'recipient'},{'recipient'}
18,9,136,210465,,Undirected,,{'source'}
19,9,1314,105108,{Shulgi.47.08.29 (us2 year)},Undirected,,{'source'}
20,9,168,116210,{Shu-Suen.05.00.00 (us2-us2 year)},Undirected,,{'source'}
21,9,1035,116210,{Shu-Suen.05.00.00 (us2-us2 year)},Undirected,,
22,168,1035,116210,{Shu-Suen.05.00.00 (us2-us2 year)},Undirected,{'source'},
23,9,1329,330678,{Shu-Suen.05.09.00},Undirected,,{'recipient'}
24,14,1118,103590,{Ibbi-Suen.01.05.27},Undirected,,
25,14,1945,103590,{Ibbi-Suen.01.05.27},Undirected,,{'recipient'}
26,1118,1945,103590,{Ibbi-Suen.01.05.27},Undirected,,{'recipient'}
27,14,1905,102456,,Undirected,,{'source'}
28,14,1356,126672,{Shulgi.31.08.00},Undirected,,"{'intermediary', 'source'}"
29,14,1935,126672,{Shulgi.31.08.00},Undirected,,
30,1356,1935,126672,{Shulgi.31.08.00},Undirected,"{'intermediary', 'source'}",
31,14,1314,115392,{Shulgi.44.12d.11 (intercalated)},Undirected,,{'source'}
32,534,534,115817,,Undirected,,
33,18,125,103327,{Amar-Suen.09.12.00},Undirected,{'source'},{'recipient'}
34,18,1955,117296,{Shu-Suen.04.04.15 (us2 year)},Undirected,,{'source'}
35,18,2047,117296,{Shu-Suen.04.04.15 (us2 year)},Undirected,,{'representative'}
36,1955,2047,117296,{Shu-Suen.04.04.15 (us2 year)},Undirected,{'source'},{'representative'}
37,1100,1100,103395,{Shu-Suen.08.00.00},Undirected,,
38,19,129,118462,,Undirected,,{'source'}
39,19,683,391036,,Undirected,,
40,19,1675,391036,,Undirected,,
41,683,1675,391036,,Undirected,,
42,19,372,290411,{Shu-Suen.01.04.16 ?},Undirected,{'representative'},{'source'}
43,20,1573,320620,{Shulgi.45.06.13 (us2 year)},Undirected,"{'representative', 'source'}",{'recipient'}
44,20,2219,320620,{Shulgi.45.06.13 (us2 year)},Undirected,"{'representative', 'source'}",
45,1573,2219,320620,{Shulgi.45.06.13 (us2 year)},Undirected,{'recipient'},
46,20,1836,135031,{Shulgi.46.08.05},Undirected,"{'representative', 'source'}",
47,20,2179,135031,{Shulgi.46.08.05},Undirected,"{'representative', 'source'}",{'representative'}
48,1836,2179,135031,{Shulgi.46.08.05},Undirected,,{'representative'}
49,20,1103,332196,{Shulgi.47.01.00 (us2 year)},Undirected,{'representative'},{'source'}
50,20,100,135153,{Amar-Suen.06.09.00},Undirected,,{'recipient'}
51,20,1056,123511,{Shulgi.47.04.18 (us2 year)},Undirected,{'representative'},{'intermediary'}
52,20,1325,123511,{Shulgi.47.04.18 (us2 year)},Undirected,{'representative'},{'recipient'}
53,1056,1325,123511,{Shulgi.47.04.18 (us2 year)},Undirected,{'intermediary'},{'recipient'}
54,20,1394,144358,{Amar-Suen.09.12d.08 (intercalated)},Undirected,{'representative'},{'intermediary'}
55,20,1395,144358,{Amar-Suen.09.12d.08 (intercalated)},Undirected,{'representative'},
56,1394,1395,144358,{Amar-Suen.09.12d.08 (intercalated)},Undirected,{'intermediary'},
57,20,1453,126756,{Amar-Suen.09.10.10},Undirected,"{'representative', 'source'}","{'intermediary', 'source'}"
58,20,1609,134081,{Shulgi.44.04m.15 (intercalated) =? Shulgi.45.04.15 (intercalated?) },Undirected,{'representative'},
59,20,2098,134081,{Shulgi.44.04m.15 (intercalated) =? Shulgi.45.04.15 (intercalated?) },Undirected,{'representative'},"{'intermediary', 'source'}"
60,1609,2098,134081,{Shulgi.44.04m.15 (intercalated) =? Shulgi.45.04.15 (intercalated?) },Undirected,,"{'intermediary', 'source'}"
61,20,292,125961,{Shu-Suen.07.08.13},Undirected,{'representative'},
62,20,1954,125961,{Shu-Suen.07.08.13},Undirected,{'representative'},{'representative'}
63,292,1954,125961,{Shu-Suen.07.08.13},Undirected,,{'representative'}
64,20,773,130624,{Ibbi-Suen.01.12.17},Undirected,{'representative'},{'intermediary'}
65,20,1903,130624,{Ibbi-Suen.01.12.17},Undirected,{'representative'},{'source'}
66,773,1903,130624,{Ibbi-Suen.01.12.17},Undirected,{'intermediary'},{'source'}
67,20,811,124511,{Amar-Suen.07.12.00},Undirected,{'representative'},{'source'}
68,20,1498,124511,{Amar-Suen.07.12.00},Undirected,{'representative'},
69,811,1498,124511,{Amar-Suen.07.12.00},Undirected,{'source'},
