name,id,role,profession,processed year,family,p_index,Archive,% domesticated animal,% dead animal,% leather object,% precious object,% queen,% seal,% unknown,% wild animal,% wool,date name,maxYear,minYear,Max Gap Start Year,Max Gap End Year,% source,% intermediary,% recipient,% representative
...-a,1,"['', ""{'source'}"", '', '', ""{'representative'}"", '', '', '', '', '', '', '', '', ""{'recipient'}"", '', '', '', '', '']",,"['61.0401', '62.0400', '66.0612', '67.0505', '68.0000', '71.0100', '75.0200', '75.0315', '78.0800', '80.0000', '80.0202', '85.1000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[104219, 105221, 126172, 126313, 134698, 134728, 320501, 218177, 104173, 123700, 105142, 113325, 106341, 125820, 320503, 144566, 290169, 248867, 108667]","['domesticated animal', 'queen', 'queen', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'queen', 'dead animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal', 'unknown', 'leather object', 'domesticated animal', 'domesticated animal']",0.5789473684210527,0.15789473684210525,0.05263157894736842,0.0,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,"['', '', '', '', '', '', '', '{Shulgi.43.04.01, Shulgi.43.04.30}', '{Shulgi.44.04.00, Shulgi.44.12d.00 (intercalated)}', '{Shulgi.48.06.12 (us2-us2 year)}', '{Amar-Suen.01.05.05}', '{Amar-Suen.02.00.00}', '{Amar-Suen.05.01.00, Amar-Suen.05.02.00, Amar-Suen.05.04.00, Amar-Suen.05.05.00, Amar-Suen.05.06.00, Amar-Suen.05.08.00, Amar-Suen.05.12.00}', '{Amar-Suen.09.02.00, Amar-Suen.09.06.00, Amar-Suen.09.11.00, Amar-Suen.09.12d.00 (intercalated)}', '{Amar-Suen.09.03.15}', '{Shu-Suen.03.08.00}', '{Shu-Suen.05.00.00}', '{Shu-Suen.05.02.02, Shu-Suen.05.03.--, Shu-Suen.05.12.25 (us2 year)}', '{Ibbi-Suen.01.10.00 ?, Ibbi-Suen.02.04.29}']",85.1,61.0401,85.1,80.0202,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842
...-bi,2,"['', '', '']",,"['61.0500', '79.0000', '83.1103']","['', '', '']","[200999, 104695, 126528]","['domesticated animal', 'unknown', 'dead animal']",0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,"['{Shulgi.43.05.00}', '{Shu-Suen.04.00.00}', '{Shu-Suen.08.11.03}']",83.1103,61.05,79.0,61.05,0.0,0.0,0.0,0.0
...-da,3,"['', '', '', '', '']",,"['64.0000', '65.0500', '65.1008', '86.0303']","['', '', '', '', '']","[102365, 118460, 126167, 330643, 105219]","['domesticated animal', 'unknown', 'dead animal', 'domesticated animal', 'domesticated animal']",0.6,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,"['', '{Shulgi.46.00.00}', '{Shulgi.47.05.00 (us2 year)}', '{Shulgi.47.10.08}', '{Ibbi-Suen.02.03.03, Ibbi-Suen.02.04.07}']",86.0303,64.0,86.0303,65.1008,0.0,0.0,0.0,0.0
...-du,4,"['', '', '', '', '', ""{'intermediary'}"", '', '']",,"['61.1000', '75.1000', '76.0400', '78.0300']","['', '', '', '', '', '', '', '']","[126272, 416428, 430246, 458711, 105224, 332034, 126021, 118506]","['domesticated animal', 'domesticated animal', 'seal', 'unknown', 'precious object', 'domesticated animal', 'domesticated animal', 'domesticated animal']",0.625,0.0,0.0,0.125,0.0,0.125,0.125,0.0,0.0,"['', '', '', '', '{Shulgi.43.10.00}', '{Amar-Suen.09.10.00}', '{Shu-Suen.01.04.00}', '{Shu-Suen.03.03.00 (us2 year)}']",78.03,61.1,75.1,61.1,0.0,0.125,0.0,0.0
...-du₃,5,"[""{'source'}"", '', '']",,"['63.0900', '65.1013', '76.0400']","['', '', '']","[126021, 103160, 129747]","['domesticated animal', 'domesticated animal', 'domesticated animal']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Shulgi.45.09.00}', '{Shulgi.47.10.13 (us2 year)}', '{Shu-Suen.01.04.00}']",76.04,63.09,76.04,65.1013,0.3333333333333333,0.0,0.0,0.0
...-eš₁₈-dar,6,"['', '']",,[],"['', '']","[126313, 330632]","['domesticated animal', 'unknown']",0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,"['', '']",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
...-ga,7,"['', '', '', '', '', '', '', '', '', '']",,"['63.0800', '67.1119', '81.0100', '86.0303']","['', '', '', '', '', '', '', '', '', '']","[134698, 105219, 117462, 125764, 128943, 128943, 128943, 103159, 320863, 134175]","['domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'domesticated animal', 'dead animal']",0.9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['', '', '', '', '', '', '{Shulgi.45.08.00}', '{Amar-Suen.01.11.19}', '{Shu-Suen.06.01.00 , Shu-Suen.06.12d.00 (intercalated)}', '{Ibbi-Suen.02.03.03, Ibbi-Suen.02.04.07}']",86.0303,63.08,81.01,67.1119,0.0,0.0,0.0,0.0
...-gal,8,"['', '', ""{'source'}""]",,"['75.0600', '76.1208']","['', '', '']","[134698, 117168, 122181]","['domesticated animal', 'domesticated animal', 'dead animal']",0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['', '{Amar-Suen.09.06.00 ?, Amar-Suen.09.12.00 ?, Shu-Suen.01.02.16}', '{Shu-Suen.01.12.08}']",76.1208,75.06,76.1208,75.06,0.3333333333333333,0.0,0.0,0.0
...-gu₇,9,"['', '', '', '', '']",,"['65.0829', '80.0000', '80.0900']","['', '', '', '', '']","[118569, 210465, 105108, 116210, 330678]","['queen', 'domesticated animal', 'dead animal', 'domesticated animal', 'domesticated animal']",0.6,0.2,0.0,0.0,0.2,0.0,0.0,0.0,0.0,"['', '', '{Shulgi.47.08.29 (us2 year)}', '{Shu-Suen.05.00.00 (us2-us2 year)}', '{Shu-Suen.05.09.00}']",80.09,65.0829,80.0,65.0829,0.0,0.0,0.0,0.0
...-in,10,"['', '']",,['67.0505'],"['', '']","[105142, 116193]","['domesticated animal', 'domesticated animal']",1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['', '{Amar-Suen.01.05.05}']",67.0505,67.0505,67.0505,67.0505,0.0,0.0,0.0,0.0
...-i₃-li₂,11,"['', '', '']",,['86.0000'],"['', '', '']","[116194, 201505, 118459]","['domesticated animal', 'domesticated animal', 'dead animal']",0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['', '', '{Ibbi-Suen.02.00.00}']",86.0,86.0,86.0,86.0,0.0,0.0,0.0,0.0
...-ka,12,"['', '', '', '']",,['62.0000'],"['', '', '', '']","[101450, 102017, 320496, 100661]","['unknown', 'unknown', 'dead animal', 'unknown']",0.0,0.25,0.0,0.0,0.0,0.0,0.75,0.0,0.0,"['', '', '', '{Shulgi.44.00.00}']",62.0,62.0,62.0,62.0,0.0,0.0,0.0,0.0
...-ke₄-ne,13,"['', '']",,"['70.0100', '77.0100']","['', '']","[125973, 129478]","['dead animal', 'domesticated animal']",0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Amar-Suen.04.01.00, Amar-Suen.04.12.00}', '{Shu-Suen.02.01.00, Shu-Suen.02.02.00, Shu-Suen.02.03.00, Shu-Suen.02.06.00, Shu-Suen.02.07.00, Shu-Suen.02.09.00, Shu-Suen.02.10.00, Shu-Suen.02.12.00}']",77.01,70.01,77.01,70.01,0.0,0.0,0.0,0.0
...-lil₂-la₂,14,"['', '']",,"['66.0612', '84.0418']","['', '']","[123700, 104619]","['dead animal', 'domesticated animal']",0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"['{Shulgi.48.06.12 (us2-us2 year)}', '{Shu-Suen.09.04.18}']",84.0418,66.0612,84.0418,66.0612,0.0,0.0,0.0,0.0
