,BDTNS No,CDLI ID,Original date,Converted Date
0,38699,P142785,IS01 - 07 - 00,85.07
1,38700,P142787,SS05 - 06 - 12,80.0612
2,38701,P142788,SH48 - 12 - 20,66.122
3,38702,P142789,SS04 - XX - 15,79.0015
4,38703,P142790,XXXX - 01 - 01,0.0101
5,38704,P142791,AS06 - 11 - 19,72.1119
6,38706,P142793,SS07 - 11 - 00,82.11
7,38707,P142794,SH44 - 12 - 28,62.1228
8,38712,P142799,SH45 - 11 - 00,63.11
9,38716,P142803,SS06 - 11d - 29,81.1129
10,38718,P142805,XXXX - XX - 23,0.0023
11,38720,P142807,SS07 - 02 - 00,82.02
12,38722,P142809,AS05 - 09 - 00?,71.09
13,38723,P142810,SS03 - 00 - 00,78.0
14,38724,P142811,SS01 - 05 - 03+,76.0503
15,38725,P142812,AS03 - 08 - 00,69.08
16,38726,P142813,AS03 - 11d - 28,69.1128
17,38760,P142849,SH47 - 02 - 00,65.02
18,38763,P142852,XXXX - XX - XX,0.0
19,38766,P142855,AS01 - 06 - 25,67.0625
20,38768,P142857,SH42 - 09 - 16,60.09160000000001
21,38769,P142858,SS07 - 11 - 03,82.1103
22,38770,P142859,SS04 - 07 - 00,79.07
23,38779,P142868,AS02 - 05 - 00,68.05
24,158676,P248580,AS01 - 00 - 00,67.0
25,158680,P248618,SH47 - 06 - 17,65.0617
26,158678,P248623,SS09 - 04 - 00,84.04
27,158679,P248626,SH47 - 09 - 23,65.09230000000001
28,158677,P248629,SH46 - 03 - 06,64.0306
29,158681,P248636,SH40 - 05 - 19,58.051899999999996
30,158653,P248637,SH48 - 00 - 00,66.0
31,158654,P248651,SH44 - 09 - 00,62.09
32,158655,P248659,SH46 - 02 - 03,64.02029999999999
33,158657,P248672,AS05 - 06 - 00,71.06
34,158685,P248711,AS07 - 11 - 27,73.1127
35,158682,P248714,0000 - 00 - 00,0.0
36,158683,P248717,0000 - 08 - 00,0.08
37,158684,P248718,SH46 - 01 - 00,64.01
38,158656,P248675,SH46 - 12 - 03,64.1203
39,169883,P248713,0000 - 03 - 00,0.03
40,158658,P248676,SH47 - 09 - 06,65.09060000000001
41,158659,P248683,SS08 - 05 - 00,83.05
42,158666,P248730,SS07 - 10 - 07,82.10069999999999
43,158667,P248731,AS07 - 03 - 09,73.0309
44,158668,P248732,IS02 - 09 - 16,86.0916
45,158669,P248734,SH46 - 05 - 00,64.05
46,158663,P248735,AS07 - 06 - 10,73.061
47,158664,P248736,SH47 - 10 - 13,65.1013
48,158665,P248737,AS05 - 03 - 00,71.03
49,158674,P248738,SS03 - 10 - 18,78.1018
50,158673,P248739,AS01 - 05 - 07,67.05069999999999
51,158672,P248740,SH44 - 02 - 01,62.020100000000006
52,158671,P248741,AS04 - 09 - 17,70.0917
53,158670,P248742,AS04 - 12 - 23,70.12230000000001
54,158675,P248743,AS06 - 07 - 24,72.07239999999999
55,158660,P248744,AS06 - 11 - 00,72.11
56,158661,P248745,AS08 - 11 - 28,74.1128
57,158662,P248746,AS07 - 10 - 09,73.1009
58,158650,P248792,SH41 - 12 - 00,59.12
59,158647,P248798,AS04 - 08 - 00,70.08
60,158645,P248804,0000 - 00 - 00,0.0
61,158646,P248805,0000 - 07 - 00,0.07
62,158644,P248830,SS06 - 12 - 00,81.12
63,22608,P128014,SH44 - 03m - 00,62.03
64,158652,P248864,SH48 - 07 - 18,66.0718
65,158649,P248867,SS05 - 02 - 02,80.0202
66,158648,P248876,SH46 - 03 - 07,64.0307
67,158642,P248901,SH47 - 03 - 16,65.0316
68,158643,P248907,AS05 - 03 - 25,71.0325
69,157935,P248974,IS02 - 02 - 00,86.02
70,157949,P248989,SS03 - 06 - 00,78.06
71,157964,P249006,SH47 - 09 - 00,65.09
72,157967,P249013,SH42 - 01 - 23 // AS06 - 01 - 23,60.012299999999996
73,157968,P249015,AS07 - 01 - 00,73.01
74,157969,P249018,SS01 - 12 - 00,76.12
75,157970,P249020,SS09 - 09 - XX,84.09
76,157971,P249019,IS01 - 11 - 00,85.11
77,157973,P249023,XXXX - XX - 25+,0.0025
78,158152,P249201,XXXX - XX - XX,0.0
79,166027,P330383,XXXX - XX - XX,0.0
80,166025,P330381,SS07 - 10 - 08,82.10079999999999
81,166034,P330390,SH45 - XX - 28,63.0028
82,166036,P330392,AS04 - 10 - 24,70.10239999999999
83,166037,P330393,SS05 - 04 - 17,80.0417
84,166041,P330397,XXXX - XX - XX,0.0
85,166086,P330441,AS05 - 11 - 10,71.111
86,166088,P330443,AS07 - 09 - 09,73.0909
87,166104,P330458,SH46 - 02 - 24,64.02239999999999
88,166105,P330459,SS09 - 12 - 28,84.1228
89,166108,P330462,SH46 - 06 - 00,64.06
90,166126,P330480,SH47 - 10 - 15,65.10149999999999
91,166128,P330482,SH48 - 09 - 20,66.092
92,166130,P330484,SH48 - 12 - 00,66.12
93,166133,P330487,AS01 - 12 - 29,67.1229
94,166135,P330489,SH48 - 07 - 23,66.0723
95,166139,P330493,SS09 - 07 - 00,84.07
96,166143,P330497,AS08 - 04 - 05,74.04050000000001
97,166144,P330498,SH41 - 03 - 00,59.03
98,166145,P330499,SH46 - 02 - 00,64.02
99,166188,P330542,AS05 - 06 - 09,71.0609
100,166194,P330548,SH47? - 12 - 08,0.12079999999999999
101,166196,P330550,SH46 - 02 - 00,64.02
102,166219,P330572,AS05 - 03 - 26,71.0326
103,166229,P330582,SH46 - 07 - 25,64.07249999999999
104,166241,P330594,SH44 - 10 - 29,62.1029
105,166263,P330616,SH45 - 12 - 06+,63.120599999999996
106,166267,P330620,SH46 - 02 - 00,64.02
107,166269,P330622,XXXX - XX - XX,0.0
108,166276,P330628,SS04 - 05 - 12,79.0512
109,166278,P330630,SS06 - 08 - 30,81.083
110,166280,P330632,0000 - 00 - 11,0.0011
111,166281,P330633,SS08 - 08 - 10(+),83.081
112,166283,P330635,SH47 - 07 - 25,65.07249999999999
113,166286,P330638,SH44 - 10 - 29,62.1029
114,166287,P330639,SS09 - 10 - 24,84.10239999999999
115,166290,P330642,SH46 - 05 - 03 // AS03 - 05 - 03,64.0503
116,166291,P330643,SH47 - 11 - 08,65.1108
117,166294,P330645,SH46 - XX - XX,64.0
118,166295,P330646,AS01 - 09 - 26,67.0926
119,166597,P330701,SS05 - 02 - 12,80.0212
120,166589,P330694,SH37 - 07 - 00 // SS04 - 07 - 00,55.07
121,166592,P330696,SH46 - 04 - 00,64.04
122,166593,P330697,AS09 - 01 - 13,75.0113
123,166594,P330698,0000 - 00 - 00,0.0
124,166552,P330657,XXXX - XX - XX,0.0
125,166553,P330658,SH42 - 09 - 03 // AS06 - 09 - 03,60.090300000000006
126,166554,P330659,SH46 - 04 - 00,64.04
127,166555,P330660,SH47 - 07 - 25,65.07249999999999
128,166556,P330661,SH47 - 07 - 15,65.07149999999999
129,166557,P330662,AS01 - 02 - 00,67.02
130,166558,P330663,AS01 - 09 - 21,67.0921
131,166559,P330664,AS01 - 10 - 27 // AS01 - 11 - 27,67.1027
132,166560,P330665,AS02 - 06 - 03,68.0603
133,166561,P330666,AS02 - 06 - 03,68.0603
134,166562,P330667,AS02 - 06 - 22,68.0622
135,166563,P330668,AS02 - 09 - 21,68.0921
136,166564,P330669,AS03 - 06 - 00,69.06
137,166565,P330670,AS03 - 11 - 06,69.1106
138,166566,P330671,AS03 - 11 - 07,69.1107
139,166567,P330672,AS04 - 11 - 04,70.1104
140,166568,P330673,AS06 - 02 - 04,72.0204
141,166569,P330674,AS07 - 02 - 11,73.02109999999999
142,166570,P330675,AS08 - 11 - 00,74.11
143,166571,P330676,AS02 - 04 - XX,68.04
144,166572,P330677,SS02 - 03 - 00,77.03
145,166573,P330678,SS05 - 08 - 00,80.08
146,166574,P330679,SS06 - XX - 09,81.0009
147,166575,P330680,SS08 - 05 - 12,83.0512
148,166577,P330682,XXXX - 02 - 00,0.02
149,166578,P330683,0000 - 05 - 00,0.05
150,166579,P330684,AS02 - 01 - 17,68.0117
151,166580,P330685,XXXX - XX - XX,0.0
152,166596,P330700,SH46 - 04 - 00 // AS03 - 04 - 00,64.04
153,15782,P100041,SSXX - 00 - 00,0.0
154,15930,P100189,SH46 - 08 - 05,64.0805
155,15931,P100190,SH47 - 07 - 29,65.07289999999999
156,15932,P100191,AS01 - 03 - 24,67.0324
157,12242,P100211,AS01 - 12 - 11,67.1211
158,9529,P132110,AS05 - 05 - 25,71.0525
159,9530,P132111,SH46 - 12 - 00,64.12
160,9531,P132112,SH43 - 10 - 00,61.1
161,9533,P132114,AS01 - 10 - 21,67.1021
162,9534,P132115,SH46 - 03 - 00,64.03
163,9535,P132116,AS04 - 01 - 11,70.0111
164,9537,P132119,SS03 - 09 - 00,78.09
165,9538,P132120,SH47 - 01 - 00,65.01
166,9539,P132121,AS02 - 04 - 10,68.04100000000001
167,9540,P132122,SH35 - 06 - 00,53.06
168,9541,P132123,AS01 - 05 - 16,67.0516
169,9543,P132125,AS06 - 00 - 20,72.002
170,9547,P132129,AS02 - 01 - 15,68.0115
171,9553,P132135,SH46 - 10 - 00,64.1
172,9555,P132137,SH36 - 04 - 00,54.04
173,9561,P132143,SH38 - 04 - 00,56.04
174,9566,P132148,SH47 - 12 - 00,65.12
175,9568,P132150,SH48 - 08 - 00,66.08
176,9576,P100214,SH43 - 09 - 11,61.091100000000004
177,9577,P100215,AS09 - 11 - 19,75.1119
178,31895,P133836,SH43 - 09 - 24,61.092400000000005
179,9579,P100217,SH47 - 02 - 17,65.0217
180,9580,P100218,AS05 - 09 - 00,71.09
181,9581,P100219,SH48 - 06 - 30,66.063
182,9582,P100220,AS02 - 11 - 20,68.112
183,9583,P100221,SH43 - 08 - 00,61.08
184,9584,P100222,SS02 - 08 - 06,77.0806
185,12114,P100223,SH47 - 11 - 00,65.11
186,12115,P100224,SH47 - 01 - 00,65.01
187,12116,P124599,SH41 - 04 - 00,59.04
188,12117,P100226,SH39 - 06 - 00,57.06
189,12118,P100227,SS08 - 12 - 00,83.12
190,12119,P100228,SH43 - 05 - 11,61.0511
191,12120,P100229,SS02 - 09 - 20,77.092
192,12121,P100230,AS08 - 12 - 16,74.1216
193,12122,P100231,AS09 - 01 - 17,75.0117
194,12123,P100232,AS05 - 09 - 15,71.0915
195,12268,P100259,AS05 - 03 - 27,71.0327
196,12269,P100260,SH48 - 08 - 04,66.0804
197,12346,P100261,SH48 - 07 - 02,66.0702
198,12347,P100262,AS05 - 05 - 14,71.0514
199,12348,P100263,AS01 - 04 - 12,67.0412
200,12349,P100264,AS05 - 08 - 09,71.0809
201,12350,P100265,AS01 - 04 - 16,67.0416
202,12351,P100266,AS01 - 11 - 08,67.1108
203,12352,P100267,SH35 - 11 - 00,53.11
204,12353,P100268,AS03 - 03 - 27,69.0327
205,12354,P100269,AS05 - 05 - 06,71.0506
206,12355,P100270,SH46 - 10 - 00,64.1
207,12356,P100271,SH42 - 08 - 00,60.08
208,12357,P100272,AS05 - 10 - 10,71.101
209,12358,P100273,SH47 - 10 - 15,65.10149999999999
210,13588,P100281,AS09 - 00 - 00,75.0
211,20898,P114331,AS04 - 05 - 09,70.0509
212,17046,P100287,SS01 - 10 - 27,76.1027
213,17043,P100284,SH46 - 01 - 24,64.0124
214,18053,P100292,SS09 - 11 - 00,84.11
