,lemma,normalizaton,id_text,id_line,id_word,label
,lemma,,id_text,id_line,label
3050479,1(aš)[]NU,,epsd2/admin/u3adm/P116890,30,r 11'
3050480,2(ban₂)[]NU,,epsd2/admin/u3adm/P116890,30,r 11'
3050481,4(diš)[]NU,,epsd2/admin/u3adm/P116890,30,r 11'
3050482,sila[unit]N,,epsd2/admin/u3adm/P116890,30,r 11'
3050483,zidkum[flour]N,,epsd2/admin/u3adm/P116890,30,r 11'
3050484,šag₄.DU[~flour]N,,epsd2/admin/u3adm/P116890,30,r 11'
3050485,gur[unit]N,,epsd2/admin/u3adm/P116890,30,r 11'
3050486,1(barig)[]NU,,epsd2/admin/u3adm/P116890,31,r 12'
3050487,2(ban₂)[]NU,,epsd2/admin/u3adm/P116890,31,r 12'
3050488,zidkum[flour]N,,epsd2/admin/u3adm/P116890,31,r 12'
3050489,sag[rare]V/i,,epsd2/admin/u3adm/P116890,31,r 12'
3050490,3(ban₂)[]NU,,epsd2/admin/u3adm/P116890,32,r 13'
3050491,6(diš)[]NU,,epsd2/admin/u3adm/P116890,32,r 13'
3050492,1/3(diš)[]NU,,epsd2/admin/u3adm/P116890,32,r 13'
3050493,sila[unit]N,,epsd2/admin/u3adm/P116890,32,r 13'
3050494,kaš[beer]N,,epsd2/admin/u3adm/P116890,32,r 13'
3050495,du[go]V/i,,epsd2/admin/u3adm/P116890,32,r 13'
3050496,ninda[bread]N,,epsd2/admin/u3adm/P116890,33,r 14'
3050497,GIŠ.AŠ[~bread]AJ,,epsd2/admin/u3adm/P116890,33,r 14'
3050498,šag[heart]N,,epsd2/admin/u3adm/P116890,34,r 15'
3050499,akiti[festival]N,,epsd2/admin/u3adm/P116890,34,r 15'
3050500,ziga[expenditure]N,,epsd2/admin/u3adm/P116890,35,r 16'
3050501,gabari[copy]N,,epsd2/admin/u3adm/P116890,35,r 16'
3050502,šag[heart]N,,epsd2/admin/u3adm/P116890,36,r 17'
3050503,uri₅{ki}-ma[]GN,Urim,epsd2/admin/u3adm/P116890,36,r 17'
3050504,le[NA]NA,,epsd2/admin/u3adm/P116890,36,r 17'
3050505,itud[moon]N,,epsd2/admin/u3adm/P116890,37,r 18'
3050506,akiti[festival]N,,epsd2/admin/u3adm/P116890,37,r 18'
3050507,mu[name]N,,epsd2/admin/u3adm/P116890,38,r 19'
3050508,us[follow]V/t,,epsd2/admin/u3adm/P116890,38,r 19'
3050509,e[house]N,,epsd2/admin/u3adm/P116890,38,r 19'
3050510,puzur₄-iš-{d}da-gan[NA]NA,,epsd2/admin/u3adm/P116890,38,r 19'
3050511,du[build]V/t,,epsd2/admin/u3adm/P116890,38,r 19'
3050512,mu[name]N,,epsd2/admin/u3adm/P116890,38,r 19'
3050513,us[follow]V/t,,epsd2/admin/u3adm/P116890,38,r 19'
3050641,1(diš)[]NU,,epsd2/admin/u3adm/P134715,3,o 1
3050642,udu[sheep]N,,epsd2/admin/u3adm/P134715,3,o 1
3050643,eʾuzga[building]N,,epsd2/admin/u3adm/P134715,3,o 1
3050644,ARAD₂-{d}nanna[]PN,AradNannak,epsd2/admin/u3adm/P134715,4,o 2
3050645,muhaldim[cook]N,,epsd2/admin/u3adm/P134715,4,o 2
3050646,maškim[administrator]N,,epsd2/admin/u3adm/P134715,4,o 2
3050647,1(diš)[]NU,,epsd2/admin/u3adm/P134715,5,o 3
3050648,udu[sheep]N,,epsd2/admin/u3adm/P134715,5,o 3
3050649,niga[fattened]V/i,,epsd2/admin/u3adm/P134715,5,o 3
3050650,2(diš)[]NU,,epsd2/admin/u3adm/P134715,5,o 3
3050651,udu[sheep]N,,epsd2/admin/u3adm/P134715,5,o 3
3050652,barŋal[~sheep]N,,epsd2/admin/u3adm/P134715,5,o 3
3050653,niga[fattened]V/i,,epsd2/admin/u3adm/P134715,5,o 3
3050654,1(diš)[]NU,,epsd2/admin/u3adm/P134715,6,o 4
3050655,gukkal[sheep]N,,epsd2/admin/u3adm/P134715,6,o 4
3050656,niga[fattened]V/i,,epsd2/admin/u3adm/P134715,6,o 4
3050657,3(diš)[]NU,,epsd2/admin/u3adm/P134715,6,o 4
3050658,udu[sheep]N,,epsd2/admin/u3adm/P134715,6,o 4
3050659,aslum[sheep]N,,epsd2/admin/u3adm/P134715,6,o 4
3050660,niga[fattened]V/i,,epsd2/admin/u3adm/P134715,6,o 4
3050661,1(diš)[]NU,,epsd2/admin/u3adm/P134715,7,o 5
3050662,udu[sheep]N,,epsd2/admin/u3adm/P134715,7,o 5
3050663,lulum[Lullubean]AJ,,epsd2/admin/u3adm/P134715,7,o 5
3050664,niga[fattened]V/i,,epsd2/admin/u3adm/P134715,7,o 5
3050665,1(diš)[]NU,,epsd2/admin/u3adm/P134715,8,o 6
3050666,mašgal[goat]N,,epsd2/admin/u3adm/P134715,8,o 6
3050667,šimaški[~sheep]N,,epsd2/admin/u3adm/P134715,8,o 6
3050668,niga[fattened]V/i,,epsd2/admin/u3adm/P134715,8,o 6
3050669,3(diš)-kam[]NU,,epsd2/admin/u3adm/P134715,8,o 6
3050670,us[side]N,,epsd2/admin/u3adm/P134715,8,o 6
3050671,1(u)[]NU,,epsd2/admin/u3adm/P134715,9,o 7
3050672,5(diš)[]NU,,epsd2/admin/u3adm/P134715,9,o 7
3050673,sila[lamb]N,,epsd2/admin/u3adm/P134715,9,o 7
3050674,2(diš)[]NU,,epsd2/admin/u3adm/P134715,9,o 7
3050675,maš[goat]N,,epsd2/admin/u3adm/P134715,9,o 7
3050676,a-bi₂-si₂-im-ti[]PN,Abisimti,epsd2/admin/u3adm/P134715,11,r 1
3050677,niŋdab[requisitions]N,,epsd2/admin/u3adm/P134715,12,r 2
3050678,udnua[moon]N,,epsd2/admin/u3adm/P134715,12,r 2
3050679,šag[heart]N,,epsd2/admin/u3adm/P134715,13,r 3
3050680,mu.DU[delivery]N,,epsd2/admin/u3adm/P134715,13,r 3
3050681,ud[sun]N,,epsd2/admin/u3adm/P134715,14,r 4
3050682,2(u)[]NU,,epsd2/admin/u3adm/P134715,14,r 4
3050683,6(diš)-kam[]NU,,epsd2/admin/u3adm/P134715,14,r 4
3050684,ki[place]N,,epsd2/admin/u3adm/P134715,15,r 5
3050685,ab-ba-sa₆-ga-ta[]PN,Abbasaga,epsd2/admin/u3adm/P134715,15,r 5
3050686,zig[rise]V/i,,epsd2/admin/u3adm/P134715,16,r 6
3050687,ŋiri[foot]N,,epsd2/admin/u3adm/P134715,17,r 7
3050688,nu-ur₂-{d}suen[]PN,NurSuʾen,epsd2/admin/u3adm/P134715,17,r 7
3050689,dubsar[scribe]N,,epsd2/admin/u3adm/P134715,17,r 7
3050690,itud[moon]N,,epsd2/admin/u3adm/P134715,18,r 8
3050691,ezem-{d}nin-a-zu[]MN,,epsd2/admin/u3adm/P134715,18,r 8
3050692,mu[name]N,,epsd2/admin/u3adm/P134715,19,r 9
3050693,en[priest]N,,epsd2/admin/u3adm/P134715,19,r 9
3050694,{d}nanna[]DN,Nanna,epsd2/admin/u3adm/P134715,19,r 9
3050695,kar-zi-da[]TN,,epsd2/admin/u3adm/P134715,19,r 9
3050696,huŋ[hire]V/t,,epsd2/admin/u3adm/P134715,19,r 9
3050697,2(u)[]NU,,epsd2/admin/u3adm/P134715,21,l.e. 1
3050698,7(diš)[]NU,,epsd2/admin/u3adm/P134715,21,l.e. 1
3050699,6(diš)[]NU,,epsd2/admin/u3adm/P115454,3,o 1
3050700,udu[sheep]N,,epsd2/admin/u3adm/P115454,3,o 1
3050701,maš[goat]N,,epsd2/admin/u3adm/P115454,3,o 1
3050702,hi[mix]V/t,,epsd2/admin/u3adm/P115454,3,o 1
3050703,kišib[seal]N,,epsd2/admin/u3adm/P115454,4,o 2
3050704,hal-ba-an[]PN,Halban,epsd2/admin/u3adm/P115454,4,o 2
3050705,2(diš)[]NU,,epsd2/admin/u3adm/P115454,5,o 3
3050706,udu[sheep]N,,epsd2/admin/u3adm/P115454,5,o 3
3050707,kišib[seal]N,,epsd2/admin/u3adm/P115454,5,o 3
