name,role,profession,p id,year,processed year
ab-ba-kal-la,['source'],None,100041,Shu-Suen.00.00.00,75.0000
lu₂-dingir-ra,['source'],None,100189,Shulgi.46.08.05,64.0805
ur-nigar{gar},['recipient'],None,100189,Shulgi.46.08.05,64.0805
nu-i₃-da,['new owner'],None,100190,Shulgi.47.07.29 (us2 year),65.0729
na-sa₆,['source'],PN,100190,Shulgi.47.07.29 (us2 year),65.0729
lu₂-dingir-ra,['source'],None,100191,Amar-Suen.01.03.24,67.0324
ur-nigar{gar},['recipient'],None,100191,Amar-Suen.01.03.24,67.0324
lu₂-dingir-ra,['source'],None,100211,Amar-Suen.01.12.11,67.1211
ur-nigar{gar},['recipient'],None,100211,Amar-Suen.01.12.11,67.1211
šu-{d}nin-šubur,['representative'],ragaba[rider],100215,Amar-Suen.09.11.19,75.1119
zu-ba-ga,['source'],None,100215,Amar-Suen.09.11.19,75.1119
ad-da-kal-la,['intermediary'],dubsar[scribe],100215,Amar-Suen.09.11.19,75.1119
na-sa₆,['recipient'],None,100217,Shulgi.47.02.00 (us2 year),65.0200
ab-ba-sa₆-ga,['source'],None,100218,Amar-Suen.05.09.00,71.0900
na-sa₆,['recipient'],None,100219,Shulgi.48.06.30,66.0630
ARAD₂-mu,['representative'],None,100220,Amar-Suen.02.11.20,68.1120
{d}šul-gi-a-a-mu,['source'],None,100220,Amar-Suen.02.11.20,68.1120
na-sa₆,['source'],None,100221,Shulgi.43.08.00,61.0800
ur-{d}suen,['recipient'],ensik[ruler],100221,Shulgi.43.08.00,61.0800
in-ta-e₃-a,['recipient'],None,100222,Shu-Suen.02.08.06,77.0806
na-sa₆,['source'],PN,100223,Shulgi.47.11.00 (us2 year),65.1100
dingir-ba-ni,['recipient'],sipad[shepherd],100224,Shulgi.47.01.00 (us2 year),65.0100
na-sa₆,['source'],PN,100224,Shulgi.47.01.00 (us2 year),65.0100
ur-ku₃-nun-na,['source'],None,100227,Shu-Suen.08.01.00,83.0100
lu₂-ša-lim,['intermediary'],dubsar[scribe],100227,Shu-Suen.08.01.00,83.0100
šeš-da-da,['new owner'],FN,100228,Shulgi.43.05.11,61.0511
ur-du₆,['new owner'],None,100228,Shulgi.43.05.11,61.0511
