p_index,people_involved
124014,"[(('ab-ba-sa₆-ga', 'None'), ""['source']"", 1280), (('i-bi₂', 'None'), ""['intermediary']"", 1), (('lu₂-{d}dumu-zi-da', 'None'), ""['intermediary']"", 3), (('lu₂-me-lam₂', 'None'), ""['intermediary']"", 2), (('šu-er₃-ra', 'None'), ""['recipient']"", 36)]"
112843,"[(('id-da-a', 'None'), ""['new owner']"", 4), (('ur-nigar{gar}', 'kaguruk[supervisor]'), ""['new owner']"", 3), (('da-a-a-ni', 'None'), ""['representative']"", 5), (('šeš-da-da', 'FN'), ""['new owner']"", 15), (('ARAD₂-mu', 'None'), ""['representative']"", 204)]"
106041,"[(('ur-mes', 'None'), ""['recipient']"", 54), (('ur-mes', 'None'), ""['recipient']"", 55), (('a-a-dingir', 'None'), ""['intermediary']"", 13), (('ib-ni-{d}suen', 'None'), ""['source']"", 1), (('ur-{d}nanna', 'None'), ""['source']"", 3)]"
104117,"[(('ba-mu', 'None'), ""['source']"", 3), (('ba-mu', 'None'), ""['source']"", 4), (('ba-a-ga', 'None'), ""['source']"", 0), (('gu-du-du', 'None'), ""['source']"", 6), (('ur-{d}ba-ba₆', 'None'), ""['intermediary']"", 30), (('ur-tur', 'None'), ""['source']"", 2), (('a-hu-a', 'None'), ""['source']"", 0), (('er₃-ra-ba-ni', 'None'), ""['source']"", 3), (('a-da-lal₃', 'None'), ""['source']"", 3)]"
101390,"[(('{d}nanše-GIR₂@g?-gal', 'None'), ""['representative']"", 0), (('ARAD₂-mu', 'None'), ""['representative', 'new owner']"", 7), (('ARAD₂-mu', 'None'), ""['representative', 'new owner']"", 8), (('ur-{d}suen', 'None'), ""['new owner']"", 1), (('ur-{d}ba-[ba₆', 'None'), ""['representative']"", 0), (('ur-{d}en-lil₂', 'None'), ""['new owner']"", 0), (('na-sa₆', 'PN'), ""['source']"", 6)]"
320513,"[(('ib-ni-{d}iškur', 'None'), ""['new owner']"", 6), (('ur-{d}suen', 'dumu[child]'), ""['new owner']"", 9), (('šeš-da-da', 'FN'), ""['new owner']"", 75), (('šeš-da-da', 'FN'), ""['new owner']"", 76), (('a-a-kal-la', 'None'), ""['representative']"", 138), (('na-sa₆', 'PN'), ""['source']"", 176), (('e₂-a-i₃-li₂', 'None'), ""['new owner']"", 60)]"
129508,"[(('nu-ur₂-i₃-li₂', 'None'), ""['intermediary']"", 10), (('{d}nanna-ku₃-zu', 'None'), ""['source']"", 3), (('i₃-e₃', 'None'), ""['intermediary']"", 0), (('bu-u₂-du', 'None'), ""['source']"", 2), (('ur-{d}[...]', 'None'), ""['intermediary']"", 4), (('ur-{d}[...]', 'None'), ""['intermediary']"", 5), (('sa₃-si₂', 'None'), ""['recipient', 'intermediary']"", 50), (('ur-sa₆-ga', 'None'), ""['source']"", 30), (('ur-nig₂', 'dumu[child]'), ""['intermediary']"", 1)]"
303447,"[(('{d}nanše-GIR₂@g-gal', 'None'), ""['representative']"", 148), (('bu-u₂-du', 'None'), ""['new owner']"", 6), (('lu₂-{d}nanna', 'šabra[administrator]'), ""['new owner']"", 14), (('na-sa₆', 'PN'), ""['source']"", 175), (('lu₂-{d}nanna', 'nubanda[overseer]'), ""['new owner']"", 1)]"
126279,"[(('ur-{d}iškur', 'None'), ""['intermediary']"", 13), (('sa₃-si₂', 'None'), ""['intermediary']"", 40), (('sa₃-si₂', 'None'), ""['intermediary']"", 41), (('ur-šar-ru-gin₇', 'None'), ""['representative']"", 1), (('lu₅-zi', 'None'), ""['recipient']"", 2)]"
101758,"[(('{d}nanna-igi-du', 'šagia[cup-bearer]'), ""['representative']"", 2), (('{d}nanna-igi-du', 'šagia[cup-bearer]'), ""['representative']"", 3), (('kas₃-pu-ša', 'šagia[cup-bearer]'), ""['intermediary']"", 0), (('kas₃-pu-ša', 'šagia[cup-bearer]'), ""['intermediary']"", 1), (('{d}suen-a-bu-šu', 'šagia[cup-bearer]'), ""['intermediary']"", 3), (('{d}en-lil₂-zi-ša₃-gal₂', 'None'), ""['intermediary']"", 0)]"
117585,"[(('i₃-lal₃-lum', 'None'), ""['new owner']"", 15), (('šu-{d}suen', 'None'), ""['new owner']"", 6), (('{d}šul-gi-i₃-li₂', 'None'), ""['new owner']"", 47), (('a-a-kal-la', 'None'), ""['representative']"", 57), (('ab-ba-sa₆-ga', 'PN'), ""['source']"", 101), (('a-hu-ni', 'sukkal[secretary]'), ""['representative']"", 1)]"
