name,profession,p index
na-sa₆,PN,100190
[{d}]amar#-{d}suen,lugal[king],100191
igi-kar₂,egia[bride],100215
ur-{d}iškur,ensik[ruler],100215
šu-{d}nin-šubur,ragaba[rider],100215
ad-da-kal-la,dubsar[scribe],100215
šeš-da-da,FN,100217
lugal-me-lam₂,ensik[ruler],100218
ra-ši,lu[person],100220
ur-{d}suen,ensik[ruler],100221
lugal-ku₃-zu,ensik[ruler],100222
dingir-ba-ni,sipad[shepherd],100223
na-sa₆,PN,100223
dingir-ba-ni,sipad[shepherd],100224
na-sa₆,PN,100224
lu₂-ša-lim,dubsar[scribe],100227
šeš-da-da,FN,100228
{d}nanna-igi-du,šagia[cup-bearer],100229
in-ta-e₃-a,PN,100229
{d}nanna-ma-ba,dubsar[scribe],100229
dingir-dan,sukkal[secretary],100230
nu-ur₂-{d}suen,dubsar[scribe],100231
na-sa₆,PN,100260
be-li₂-du₁₀,kurušda[fattener],100267
ha-ha-ša,damgar[merchant],100278
ku-ru-ub-e₂-a,muhaldim[cook],100284
lu₂-x,u,100317
li-ša-num₂,ensik[ruler],100320
a-hu-ma,ensik[ruler],100327
ab-ba-sa₆-ga,PN,100327
nu-ur₂-{d}suen,dubsar[scribe],100328
lu₂-{d}nanna,šabra[administrator],100330
ab-ba-sa₆-ga,PN,100330
ur-{d}nin-gal,GN,100331
lu₂-{d}nin-šubur,šabra[administrator],100331
ur-{d}en-lil₂-la₂,dubsar[scribe],100331
ur-nigar{gar},FN,100331
er₃-re-šum,šarrabdu[administrator],100332
gu₄-geš,šugid[~animal],100336
ur-{geš}gigir,ugula[overseer],100378
ur-{d}šara₂,bisaŋdubak[archivist],100615
a-gu-gu#,AN,100627
ur-{d}er₃-ra,šuʾi[barber],100627
ša₃-ad-da,malah[sailor],100627
ad-da-mu,nukirik[gardener],100627
pa₃-da,nukirik[gardener],100627
ur-{d}gilgamesₓ(|BIL₃.GA.MES|),AN,100627
lugal-a₂-zi-da,AN,100627
ur-{d}nin-šubur,nubanda[overseer],100628
ur-{geš}gigir,PN,100628
ur-e₁₁-e,damgar[merchant],100643
šeš-kal-la,PN,100653
{d}x]-{d}suen,lugal[king],100672
lu₂-{d}šara₂,lu[person],100675
ur-{d}šara₂,dumu[child],100691
ab-ba-gi-na,unud[cowherd],100739
ur-{d}šara₂,sipad[shepherd],100739
lu₂-{d}suen,ŋar[place],100756
lu₂-zabala₃,sipad[shepherd],100764
lugal-e₂-mah-e,šeš[brother],100769
da-da-ga,ŋar[place],100774
ur-{geš}gigir,sipad[shepherd],100775
da-da-ga,ŋar[place],100775
ur-{d}en-ki,lungak[brewer],100776
šeš-kal-la,dumu[child],100784
gu-du-du,u,100794
šeš-kal-la,dumu[child],100798
ku₃-ga-ni,ŋar[place],100798
ur-{d}šara₂,AN,100811
ur-sukkal,nar[musician],100820
ur-{d}iškur,šuʾi[barber],100820
ur-nigar{gar},PN,100820
na-ap-la-num₂,MAR.TU[westerner],100967
ad-da-sa₆-ga,agaʾus[soldier],100967
a₂-bi₂-lum,dumu[child],100968
ik-šu-dum,MAR.TU[westerner],100968
[na]-ap-la-nu-um,MAR.TU[westerner],100971
mi-da-nu-um,MAR.TU[westerner],100971
u₃-ga,MAR.TU[westerner],100973
šeš-da-da,FN,100973
lu₂-{d}nanna,šabra[administrator],100973
{d}šul-gi-i₃-li₂,MAR.TU[westerner],100975
na-sa₆,PN,100975
kur-bi-la-ak,lu[person],100977
ur-{d}suen,dumu[child],100977
šeš-da-da,FN,100977
i-di₃-{d}iškur,kuš[official],100977
la-gi-ip,dumu[child],100977
lu₂-{d}nanna,šakkanak[general],100977
la-muš,lu[person],100977
za-a-an-nu-um,sipad[shepherd],100978
ku-na-ma#-tum,MAR.TU[westerner],100978
nu-da-tum,MAR.TU[westerner],100980
ha-an-za-ab-tum-ma-še₃,ak[do],100980
ša-at-{d}suen,dam[spouse],100982
{d}šara₂-kam,ensik[ruler],100983
bur-ma-ma,damgar[merchant],100983
ur-{d}šul-pa-e₃,ragaba[rider],100983
i-bi₂-zu,nubanda[overseer],100983
{d}šara₂-kam,ensik[ruler],100983
lugal-dub-sar,dikud[judge],100983
ur-mes,ensik[ruler],100983
a₂-bi₂-li₂-a,nubanda[overseer],100983
wa-ta₂-ru-um,FN,100983
šu-i₃-li₂,sukkal[secretary],100983
šu-e₂-a,PN,100983
wa-ta₂-ru-um,FN,100983
i-me-er,nubanda[overseer],100983
wa-ta₂-ru-um,FN,100983
ur-mes,ensik[ruler],100983
wa-ta₂-ru-um,FN,100983
lu₂-sa₆-ga,šabra[administrator],100983
lu₂-{d}inanna,šukud[fisherman],100983
lu₂-{d}nin-gir₂-su,šabra[administrator],100983
za-na-a,šidim[builder],100983
ur-mes,ensik[ruler],100983
i-mi-id-dingir,šabra[administrator],100983
gu₃-de₂-a,ensik[ruler],100983
šeš-kal-la,agaʾus[soldier],100983
gu₃-de₂-a,ensik[ruler],100983
za-ri₂!-[iq],lu[person],100983
wa-ta₂-ru-um,FN,100983
lu₂-dingir-ra,šabra[administrator],100983
za-ri₂-iq,lu[person],100983
a-ba-u₃,MAR.TU[westerner],100983
ur-mes,ensik[ruler],100983
wa-ta₂-ru-[um,FN,100983
nimgir-di-de₃,nubanda[overseer],100983
be₆-bu-ru,galamah[singer],100983
ga-na-za,dubsar[scribe],100983
a₂-bi₂-la-ti,nubanda[overseer],100983
ur-ad-gi₄-gi₄,galamah[singer],100983
ur-nigar{gar},X,100983
ur-{d}nin-sun₂,šabra[administrator],100983
šu-ab-ba,sukkal[secretary],100984
muš-da-nu-um,MAR.TU[westerner],100985
nu-ur₂-{d}iškur,dubsar[scribe],100985
{d}nanna-igi-du,šagia[cup-bearer],100986
a-bu-du₁₀,lu[person],100986
i₃-u₃-ša,dumu[child],100986
me-ša#-[nu-nu?],X,100986
ur-sukkal,sukkal[secretary],100986
lu₂-{d}nin-šubur,dubsar[scribe],100986
ba#-na#-na#,lu[person],100987
a-bu-du₁₀,lu[person],100987
ni-im-zi,lu[person],100987
i-za,lu[person],100987
a-ri₂-x,u,100987
šar-ru-um-i₃-li₂,kuš[official],100988
la-ma-har,nubanda[overseer],100988
dingir-a-zu,nubanda[overseer],100988
ta₂-hi-še-en,nubanda[overseer],100988
bur-{d}iškur,nubanda[overseer],100988
ulu₃-di,PN,100990
muš-lah₅,DN,100990
a-da-na-ah,mušendu[bird-catcher],100992
uz-tur,uš[die],100993
ab-ba-sa₆-ga,PN,101013
lu₂-sa₆-ga,dubsar[scribe],101013
AN,PN,101016
{d}en-lil₂-la₂,X,101016
nig₂-x,u,101016
a-ba-{d}en-lil₂-gin₇,PN,101016
lu₂-{d}nin-šubur,dubsar[scribe],101016
{d}x]-{d}suen,lugal[king],101021
ur-e₁₁-e,kuš[official],101225
ur-{d}šul-pa-e₃,sukkalmah[official],101297
i₃-da-ga,nagada[herdsman],101298
ur-mes,nagada[herdsman],101298
lugal-ezem,kuš[official],101298
e₂-u₆-e,ensik[ruler],101299
i-mi-id-dingir,šabra[administrator],101302
ba-gu-um,mušendu[bird-catcher],101303
wa-at-ra-at,ugula[overseer],101311
un-za-mu,engar[farmer],101313
šeš-kal-la,dumu[child],101313
ur-{d}utu,engar[farmer],101313
ur-{d}iškur,engar[farmer],101313
lugal-za₃-ge-si,engar[farmer],101313
ab-ba-gi-na,dumu[child],101313
ur-{d}ig-alim,engar[farmer],101313
ARAD₂-mu,u,101313
{d}ba-ba₆-da-nu-me-a,engar[farmer],101313
lu₂-gi-na,dumu[child],101313
lu₂-banda₃{da},gi[thicket],101313
lu₂-{d}geš-bar-e₃,engar[farmer],101313
lu₂-{d}nanna,dumu[child],101313
lu₂-dingir-ra,engar[farmer],101313
lu₂#-giri₁₇-zal!,dumu[child],101313
šeš#-kal-la,dumu[child],101313
a-da-lal₃,engar[farmer],101313
suhuš-gi-in,min[two],101313
er₃-re-eb,dumu[child],101313
lu₂-ša-lim,nubanda[overseer],101317
i-mi-id-dingir,šabra[administrator],101319
ur-mes,ensik[ruler],101322
nu-ur₂-{d}suen,dubsar[scribe],101322
la-na,kurušda[fattener],101323
[la-na,kurušda[fattener],101326
la-[na,kurušda[fattener],101329
{d}nanna-ma-ba,dubsar[scribe],101333
a₂!(DA)-ge₆-il₂-la,FN,101334
i-mi-id-dingir,nagada[herdsman],101337
šu-ku₈-bu-um,kuš[official],101337
ku₃-{d}nanna,ensik[ruler],101338
ad-du,dam[spouse],101339
nu-ur₂-{d}suen,dubsar[scribe],101339
lu₂-{d}nin-gir₂-su,kurušda[fattener],101340
lu₂-{d}nin-gir₂-su,kurušda[fattener],101341
lu₂-{d}nin-gir₂-su,kurušda[fattener],101344
lu₂-{d}nin-gir₂-[su,kurušda[fattener],101346
be-li₂-du₁₀,kurušda[fattener],101352
lu₂-uru₁₁{ki},sukkal[secretary],101355
an-nu-ni-tum,šag[heart],101356
be-li₂-du₁₀,kurušda[fattener],101356
AN,u,101357
be-li₂-du₁₀,kurušda[fattener],101357
uz-tur,uš[die],101359
er₃-ra-ba-ni,muhaldim[cook],101361
lugal-ra,gabari[copy],101365
{d}]be-la-at-<suh₆>-ner,u[and],101368
{d}ša-u₁₈-ša,GN,101374
er₃-ra-na-dan,šagia[cup-bearer],101374
lugal-ra,gabari[copy],101379
[{d}]gu₂-la₂,šag[heart],101382
lugal-ra,gabari[copy],101383
ARAD₂-mu,AN,101389
na-sa₆,PN,101389
a-wa-at-i₃-li₂,u,101390
na-sa₆,PN,101390
igi-kar₂,PN,101394
{d}nin-lil₂-e-ma-na!(KI)-ag₂,ud[sun],101394
lugal-inim-gi-na,sukkal[secretary],101394
ur-{d}dumu-zi-da,sukkal[secretary],101394
na-ap-la-num₂,MAR.TU[westerner],101394
ad-da-sa₆-ga,agaʾus[soldier],101394
a-mur-dingir,lu[person],101394
li-ba-nu-uk-ša-ba-aš,ensik[ruler],101394
gu-ra-a,lu[person],101394
hu-zi-ri,sukkal[secretary],101394
{d}da-gan-a-bu,lu[person],101394
ia₃-ši-li-im,ensik[ruler],101394
i-ba-ti,lu[person],101394
en-mah-gal-an-na,en[priest],101394
ur-mes,PN,101396
lugal-a₂-zi-da,u,101397
{d}a-ma-ga,AN,101397
in-ta-e₃-a,PN,101397
nu-ur₂-{d}suen,dubsar[scribe],101397
{d}utu-bar-ra,unud[cowherd],101398
lu₂#-[{d}nin-gir₂-su,kurušda[fattener],101401
ur-šu,muhaldim[cook],101402
uri₅{ki}-ki-du₁₀,muhaldim[cook],101402
{d}šu-{d}suen-ma-ha-ar,šagia[cup-bearer],101403
{d}suen-a-bu-šu,šagia[cup-bearer],101403
nu-ur₂-{d}suen,dubsar[scribe],101403
{d}šul-gi-i₃-li₂,PN,101404
ur-nigar[{gar}],kaguruk[supervisor],101406
lu₂-[{d}nin-gir₂-su,kurušda[fattener],101407
lu₂-{d}nin-šubur,dubsar[scribe],101427
{d}šara₂-kam-e,X,101430
be-li₂-du₁₀,kurušda[fattener],101439
be-li₂-du₁₀,kurušda[fattener],101439
be-li₂-du₁₀,kurušda[fattener],101439
<la₂>-NI,n,101440
šeš-da-da,FN,101443
lu₂-{d}nanna,šakkanak[general],101445
lu₂-[...],e[house],101449
[...]-ka#,ŋal[be],101450
i-di₃-er₃-ra,ugula[overseer],101450
a-pi-la-ša,u,101452
nu-ur₂-ma,n,101453
nu-ur₂-ma,n,101453
nu-ur₂-ma,n,101453
{d}suen-a-bu-šu,šagia[cup-bearer],101454
a₂#-ge₆#-ba-a,ud[sun],101454
nu-ur₂-{d}suen#,šatam[official],101454
šu#-er₃-ra,dubsar[scribe],101454
{d}suen-a-bu-šu,šagia[cup-bearer],101455
hal-li₂-a,dubsar[scribe],101455
nu-ur₂-zu-[bi,ŋal[be],101461
ur-ku₃-nun-na-ka,ŋal[be],101461
