name;professions
<ARAD₂>-u₃!;{'hazanum[mayor]'}
<la₂>-NI;{'n'}
AN;{'ŋar[place]', 'AN', 'zu[material]', 'u', 'PN', 'a[arm]', 'gu[cord]', 'X'}
AN#;{'AN'}
AN#?;{'AN'}
AN?;{'u'}
ARAD₂#?-{d}nanna;{'sukkalmah[official]'}
ARAD₂-[x;{'u'}
ARAD₂-hul₃?-la;{'ŋar[place]'}
ARAD₂-mu;{'AN', 'sukkalmah[official]', 'u', 'PN', 'šabra[administrator]', 'šagia[cup-bearer]', 'gala[singer]', 'ugula[overseer]', 'dumu[child]', 'ensik[ruler]', 'sukkal[secretary]', 'MAR.TU[westerner]', 'kuš[official]'}
ARAD₂-re-[eb;{'AN'}
ARAD₂-{d}ba#?-[ba₆;{'dumu[child]'}
ARAD₂-{d}ba-ba₆;{'lu[person]'}
ARAD₂-{d}nanna;{'dubsar[scribe]', 'sukkalmah[official]', 'u', 'šagia[cup-bearer]', 'kurušda[fattener]', 'dumu[child]', 'ensik[ruler]', 'sukkal[secretary]', 'nubanda[overseer]', 'muhaldim[cook]'}
ARAD₂-{d}nanna#?;{'sukkalmah[official]'}
AŠ;{'u', 'ur[pluck]'}
EN;{'zu[material]'}
EN#;{'AN'}
HI-da;{'gal[big]', 'X'}
IŠ;{'AN', 'tug[textile]'}
KA-[...];{'ur[pluck]'}
KU-x;{'du[go]'}
MUŠ₃;{'du[go]'}
NE-NE;{'AN', 'ensik[ruler]'}
NE-mu-ša-ni-mu;{'lu[person]'}
NE-ša-ah-dingir;{'muhaldim[cook]'}
PI-bi₂-il;{'MAR.TU[westerner]'}
PI-tum-bi;{'n'}
SI-A-a;{'nubanda[overseer]', 'malah[sailor]'}
SIG₇;{'PN'}
UŠ-a-a;{'šeš[brother]'}
[...]-a;{'udu[sheep]', 'n', 'nubanda[overseer]', 'hulu[bad]'}
[...]-ar!;{'kuš[official]'}
[...]-bi;{'n'}
[...]-da;{'dubsar[scribe]', 'u'}
[...]-da#!;{'nagada[herdsman]'}
[...]-da-ni;{'AN'}
[...]-du;{'šagia[cup-bearer]', 'ŋiri[foot]'}
[...]-du₁₀#;{'sukkal[secretary]'}
[...]-eš₁₈-dar;{'nubanda[overseer]'}
[...]-ga;{'FN'}
