id,source,target,p_index,year,type,source's role,target's role
1,2,954,104173,"{Shulgi.44.04.00, Shulgi.44.12d.00 (intercalated)}",Undirected,,{'intermediary'}
2,3,1289,320501,,Undirected,,{'recipient'}
3,3,495,218177,"{Shulgi.43.04.01, Shulgi.43.04.30}",Undirected,,
4,3,2359,218177,"{Shulgi.43.04.01, Shulgi.43.04.30}",Undirected,,
5,495,2359,218177,"{Shulgi.43.04.01, Shulgi.43.04.30}",Undirected,,
6,4,1677,126528,{Shu-Suen.08.11.03},Undirected,,{'source'}
7,4,2284,126528,{Shu-Suen.08.11.03},Undirected,,{'recipient'}
8,1677,2284,126528,{Shu-Suen.08.11.03},Undirected,{'source'},{'recipient'}
9,6,220,416428,,Undirected,,{'source'}
10,1326,1326,458711,,Undirected,,
11,6,1790,105224,{Shulgi.43.10.00},Undirected,,{'source'}
12,2314,2314,103160,{Shulgi.45.09.00},Undirected,{'source'},{'source'}
13,8,26,103159,{Shulgi.45.08.00},Undirected,,{'representative'}
14,8,2430,103159,{Shulgi.45.08.00},Undirected,,{'recipient'}
15,26,2430,103159,{Shulgi.45.08.00},Undirected,{'representative'},{'recipient'}
16,8,2266,320863,{Amar-Suen.01.11.19},Undirected,,{'recipient'}
17,8,2284,320863,{Amar-Suen.01.11.19},Undirected,,{'recipient'}
18,2266,2284,320863,{Amar-Suen.01.11.19},Undirected,{'recipient'},{'recipient'}
19,9,153,210465,,Undirected,,{'source'}
20,9,1426,105108,{Shulgi.47.08.29 (us2 year)},Undirected,,{'source'}
21,9,183,116210,{Shu-Suen.05.00.00 (us2-us2 year)},Undirected,,{'source'}
22,9,1116,116210,{Shu-Suen.05.00.00 (us2-us2 year)},Undirected,,
23,183,1116,116210,{Shu-Suen.05.00.00 (us2-us2 year)},Undirected,{'source'},
24,9,1443,330678,{Shu-Suen.05.09.00},Undirected,,{'recipient'}
25,15,2068,102456,,Undirected,,{'source'}
26,15,1473,126672,{Shulgi.31.08.00},Undirected,,"{'intermediary', 'source'}"
27,15,2104,126672,{Shulgi.31.08.00},Undirected,,
28,1473,2104,126672,{Shulgi.31.08.00},Undirected,"{'intermediary', 'source'}",
29,15,1426,115392,{Shulgi.44.12d.11 (intercalated)},Undirected,,{'source'}
30,15,1207,103590,{Ibbi-Suen.01.05.27},Undirected,,
31,15,2116,103590,{Ibbi-Suen.01.05.27},Undirected,,{'recipient'}
32,1207,2116,103590,{Ibbi-Suen.01.05.27},Undirected,,{'recipient'}
33,574,574,115817,,Undirected,,
34,19,137,103327,{Amar-Suen.09.12.00},Undirected,{'source'},{'recipient'}
35,19,2121,117296,{Shu-Suen.04.04.15 (us2 year)},Undirected,,{'source'}
36,19,2217,117296,{Shu-Suen.04.04.15 (us2 year)},Undirected,,{'representative'}
37,2121,2217,117296,{Shu-Suen.04.04.15 (us2 year)},Undirected,{'source'},{'representative'}
38,1190,1190,103395,{Shu-Suen.08.00.00},Undirected,,
39,20,141,118462,,Undirected,,{'source'}
40,20,1486,118462,,Undirected,,{'source'}
41,141,1486,118462,,Undirected,{'source'},{'source'}
42,20,741,391036,,Undirected,,
43,20,1823,391036,,Undirected,,
44,741,1823,391036,,Undirected,,
45,20,396,290411,{Shu-Suen.01.04.16 ?},Undirected,{'representative'},{'source'}
46,20,653,128878,{Shu-Suen.09.01.00},Undirected,,{'source'}
47,22,220,125621,,Undirected,,{'source'}
48,22,1985,126496,{Amar-Suen.07.12.00},Undirected,,{'source'}
49,22,2171,126496,{Amar-Suen.07.12.00},Undirected,,{'intermediary'}
50,1985,2171,126496,{Amar-Suen.07.12.00},Undirected,{'source'},{'intermediary'}
51,22,220,104008,{Amar-Suen.08.07.00},Undirected,,{'source'}
52,22,1590,104008,{Amar-Suen.08.07.00},Undirected,,{'recipient'}
53,220,1590,104008,{Amar-Suen.08.07.00},Undirected,{'source'},{'recipient'}
54,22,220,134801,"{Amar-Suen.08.08.00, Amar-Suen.08.09.00}",Undirected,,{'source'}
55,22,874,134801,"{Amar-Suen.08.08.00, Amar-Suen.08.09.00}",Undirected,,
56,220,874,134801,"{Amar-Suen.08.08.00, Amar-Suen.08.09.00}",Undirected,{'source'},
57,22,543,127521,{Amar-Suen.08.12.00},Undirected,,{'source'}
58,22,2284,127521,{Amar-Suen.08.12.00},Undirected,,{'recipient'}
59,543,2284,127521,{Amar-Suen.08.12.00},Undirected,{'source'},{'recipient'}
60,22,1106,116208,{Amar-Suen.09.07.00},Undirected,,{'source'}
