id,name,role,profession,processed year,family,p_index,date name,maxYear,minYear,Max Gap Start Year,Max Gap End Year
1,...-a,"['', ""{'source'}"", '', '', ""{'representative'}"", '', '', '', '', '', '', '', '', ""{'recipient'}"", '', '', '', '', '']",,"['61.0401', '62.0400', '66.0612', '67.0505', '68.0000', '71.0100', '75.0200', '75.0315', '78.0800', '80.0000', '80.0202', '85.1000']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","['104219', '105221', '126172', '126313', '134698', '134728', '320501', '218177', '104173', '123700', '105142', '113325', '106341', '125820', '320503', '144566', '290169', '248867', '108667']","['', '', '', '', '', '', '', '{Shulgi.43.04.01, Shulgi.43.04.30}', '{Shulgi.44.04.00, Shulgi.44.12d.00 (intercalated)}', '{Shulgi.48.06.12 (us2-us2 year)}', '{Amar-Suen.01.05.05}', '{Amar-Suen.02.00.00}', '{Amar-Suen.05.01.00, Amar-Suen.05.02.00, Amar-Suen.05.04.00, Amar-Suen.05.05.00, Amar-Suen.05.06.00, Amar-Suen.05.08.00, Amar-Suen.05.12.00}', '{Amar-Suen.09.02.00, Amar-Suen.09.06.00, Amar-Suen.09.11.00, Amar-Suen.09.12d.00 (intercalated)}', '{Amar-Suen.09.03.15}', '{Shu-Suen.03.08.00}', '{Shu-Suen.05.00.00}', '{Shu-Suen.05.02.02, Shu-Suen.05.03.--, Shu-Suen.05.12.25 (us2 year)}', '{Ibbi-Suen.01.10.00 ?, Ibbi-Suen.02.04.29}']",85.1000,61.0401,85.1000,80.0202
2,...-bi,"['', '', '']",,"['61.0500', '79.0000', '83.1103']","['', '', '']","['200999', '104695', '126528']","['{Shulgi.43.05.00}', '{Shu-Suen.04.00.00}', '{Shu-Suen.08.11.03}']",83.1103,61.0500,79.0000,61.0500
3,...-da,"['', '', '', '', '']",,"['64.0000', '65.0500', '65.1008', '86.0303']","['', '', '', '', '']","['102365', '118460', '126167', '330643', '105219']","['', '{Shulgi.46.00.00}', '{Shulgi.47.05.00 (us2 year)}', '{Shulgi.47.10.08}', '{Ibbi-Suen.02.03.03, Ibbi-Suen.02.04.07}']",86.0303,64.0000,86.0303,65.1008
4,...-du,"['', '', '', '', '', ""{'intermediary'}"", '', '']",,"['61.1000', '75.1000', '76.0400', '78.0300']","['', '', '', '', '', '', '', '']","['126272', '416428', '430246', '458711', '105224', '332034', '126021', '118506']","['', '', '', '', '{Shulgi.43.10.00}', '{Amar-Suen.09.10.00}', '{Shu-Suen.01.04.00}', '{Shu-Suen.03.03.00 (us2 year)}']",78.0300,61.1000,75.1000,61.1000
5,...-du₃,"[""{'source'}"", '', '']",,"['63.0900', '65.1013', '76.0400']","['', '', '']","['103160', '129747', '126021']","['{Shulgi.45.09.00}', '{Shulgi.47.10.13 (us2 year)}', '{Shu-Suen.01.04.00}']",76.0400,63.0900,76.0400,65.1013
6,...-eš₁₈-dar,"['', '']",,[],"['', '']","['126313', '330632']","['', '']",0,0,0,0
7,...-ga,"['', '', '', '', '', '', '', '', '', '']",,"['63.0800', '67.1119', '81.0100', '86.0303']","['', '', '', '', '', '', '', '', '', '']","['117462', '125764', '128943', '128943', '128943', '134698', '103159', '320863', '134175', '105219']","['', '', '', '', '', '', '{Shulgi.45.08.00}', '{Amar-Suen.01.11.19}', '{Shu-Suen.06.01.00 , Shu-Suen.06.12d.00 (intercalated)}', '{Ibbi-Suen.02.03.03, Ibbi-Suen.02.04.07}']",86.0303,63.0800,81.0100,67.1119
8,...-gal,"['', '', ""{'source'}""]",,"['75.0600', '76.1208']","['', '', '']","['134698', '117168', '122181']","['', '{Amar-Suen.09.06.00 ?, Amar-Suen.09.12.00 ?, Shu-Suen.01.02.16}', '{Shu-Suen.01.12.08}']",76.1208,75.0600,76.1208,75.0600
9,...-gu₇,"['', '', '', '', '']",,"['65.0829', '80.0000', '80.0900']","['', '', '', '', '']","['118569', '210465', '105108', '116210', '330678']","['', '', '{Shulgi.47.08.29 (us2 year)}', '{Shu-Suen.05.00.00 (us2-us2 year)}', '{Shu-Suen.05.09.00}']",80.0900,65.0829,80.0000,65.0829
10,...-in,"['', '']",,['67.0505'],"['', '']","['116193', '105142']","['', '{Amar-Suen.01.05.05}']",67.0505,67.0505,67.0505,67.0505
