name,normalised name,role,profession,family,p index,date name,processed date,GNs
name,normalised name,role,profession,family,p index,date name,processed date,
ab-ba-kal-la-ta,Abbakala[]PN,source,,,P100041,{Shu-Suen.00.00.00},75.0000,{'uri₅{ki}-ma'}
lu₂-{d}suen,LuSuʾenak[]PN,,,,P100041,{Shu-Suen.00.00.00},75.0000,{'uri₅{ki}-ma'}
ur-nigar{gar},,recipient,,,P100189,{Shulgi.46.08.05},64.0805,"{'ki-maš{ki}', 'hu-ur₅-ti{ki}'}"
lu₂-dingir-ra-ta,Ludiŋirak[]PN,source,,,P100189,{Shulgi.46.08.05},64.0805,"{'ki-maš{ki}', 'hu-ur₅-ti{ki}'}"
nu-i₃-da,Nuʾida[]PN,new owner,zabardab[official]N,,P100190,{Shulgi.47.07.29 (us2 year)},65.0729,{'ki-maš{ki}'}
na-sa₆-ta,Nasag[]PN,source,,,P100190,{Shulgi.47.07.29 (us2 year)},65.0729,{'ki-maš{ki}'}
ur-nigar{gar},,recipient,,,P100191,{Amar-Suen.01.03.24},67.0324,{'unu{ki}-ga'}
lu₂-dingir-ra-ta,Ludiŋirak[]PN,source,,,P100191,{Amar-Suen.01.03.24},67.0324,{'unu{ki}-ga'}
ur-nigar{gar},,recipient,,,P100211,{Amar-Suen.01.12.11},67.1211,
lu₂-dingir-ra-ta,Ludiŋirak[]PN,source,,,P100211,{Amar-Suen.01.12.11},67.1211,
ad-da-kal-la,Addakala[]PN,intermediary,dubsar[scribe]N,,P100215,{Amar-Suen.09.11.19},75.1119,{'ha-ma-zi₂{ki}'}
zu-ba-ga-ta,Zubaga[]PN,source,,,P100215,{Amar-Suen.09.11.19},75.1119,{'ha-ma-zi₂{ki}'}
na-sa₆,Nasag[]PN,recipient,,,P100217,{Shulgi.47.02.00 (us2 year)},65.0200,"{'ki-maš{ki}', 'urum₂{ki}'}"
na-sa₆,Nasag[]PN,new owner,,,P100217,{Shulgi.47.02.00 (us2 year)},65.0200,"{'ki-maš{ki}', 'urum₂{ki}'}"
ab-ba-sa₆-ga-ta,Abbasaga[]PN,source,,,P100218,{Amar-Suen.05.09.00},71.0900,{'nibru{ki}'}
na-sa₆,Nasag[]PN,recipient,,,P100219,{Shulgi.48.06.30},66.0630,"{'gir₂-su{ki}', 'ki-maš{ki}', 'ha-ar-ši{ki}', 'umma{ki}', 'hu-ur₅-ti{ki}'}"
na-sa₆,Nasag[]PN,new owner,,,P100219,{Shulgi.48.06.30},66.0630,"{'gir₂-su{ki}', 'ki-maš{ki}', 'ha-ar-ši{ki}', 'umma{ki}', 'hu-ur₅-ti{ki}'}"
