,Name,id_word,role,profession,CDLI No
0,{d}šul-gi-a-a-mu-ta[]PN,P405489.12.2,source,,P405489
1,{d}šul-gi-iri-mu[]PN,P405489.13.1,recipient,,P405489
2,{d}utu-ba-ni[]PN,P332036.11.1,,,P332036
3,dingir-ki-ma-at[]PN,P332036.19.3,,,P332036
4,di-ku₅-i₃-li₂[]PN,P332036.19.6,,,P332036
5,la-gi-ip[]PN,P332036.23.3,,,P332036
6,a₂-bi₂-lum[]PN,P332036.24.3,,,P332036
7,dam-ku-um[]PN,P332036.25.3,,,P332036
8,šu-ma-ma[]PN,P332036.26.3,,nubanda[overseer]N,P332036
9,a-hu-we-er[]PN,P332036.47.1,recipient,,P332036
10,du-u₂-du[]PN,P332036.53.1,recipient,,P332036
11,na-lu₅[]PN,P332036.58.1,recipient,,P332036
12,ur-{d}ku₃-nun-na[]PN,P332036.64.1,recipient,,P332036
13,be-li₂-a-zu[]PN,P332036.68.1,recipient,,P332036
14,in-ta-e₃-a[]PN,P332036.70.1,,,P332036
15,ur-{d}tilla₃[]PN,P320496.16.2,new owner,saŋŋa[official]N,P320496
16,maš-tur[]PN,P320496.17.1,,šagia[cup-bearer]N,P320496
17,na-ap-la-nu-um[]PN,P320496.23.4,,,P320496
18,ur-{d}nin-gal[]PN,P320496.24.2,new owner,,P320496
19,en-ša₃-ku₃-ge[]PN,P320496.29.2,new owner,en[priest]N,P320496
20,ARAD₂-mu[]PN,P320496.30.1,representative,,P320496
21,bu-u₂-du[]PN,P320496.34.2,new owner,,P320496
22,maš-tur[]PN,P320496.35.1,,šagia[cup-bearer]N,P320496
23,ur-{d}tilla₃[]PN,P320496.40.2,new owner,saŋŋa[official]N,P320496
24,maš-tur[]PN,P320496.41.1,,šagia[cup-bearer]N,P320496
25,a-a-kal-la[]PN,P124307.7.1,recipient,,P124307
26,zu-ba-ga-ta[]PN,P124307.9.2,source,,P124307
27,ARAD₂-{d}nanna[]PN,P124307.20.1,,,P124307
28,a-a-kal-la[]PN,P124307.21.2,,,P124307
29,ab-ba-sa₆-ga-ta[]PN,P128809.7.2,source,,P128809
30,na-lu₅[]PN,P128809.9.1,recipient,,P128809
31,{d}amar-{d}suen[]PN,P128809.13.2,,lugal[king]N,P128809
32,ab-ba-sa₆-ga-ta[]PN,P128769.5.2,source,,P128769
33,{d}šul-gi-a-a-mu[]PN,P128769.6.1,recipient,,P128769
34,{d}amar-{d}suen[]PN,P128769.11.2,,lugal[king]N,P128769
