,name,role,profession,p_index
1,ur-{d}dumu-zi-da-ta,source,NA,100129
2,a-kal-la,reciever,NA,100129
3,lu₂-sa₆-i₃-zu-ta,source,NA,100398
4,lugal-e-ba-an-sa₆,reciever,NA,100398
5,uš-mu-ta,source,NA,100414
6,a-kal-la,reciever,NA,100414
7,lu₂-{d}nin-šubur-ta,source,NA,100437
8,lugal-ezem,reciever,NA,100437
9,ukken-ne₂-ta,source,NA,100441
10,lugal-ezem,reciever,NA,100441
11,ur-{d}šara₂-ta,source,NA,100451
12,ur-zu,reciever,NA,100451
13,ur-sila-luh-ta,source,NA,100489
14,a-du-mu,reciever,NA,100489
15,lu₂-banda₃{da}-ta,source,NA,100639
16,lugal-iti-da,reciever,NA,100639
17,{d}šara₂-ki-ag₂-ta,source,NA,100682
18,ba-sa₆,reciever,NA,100682
19,ur-ru-ta,source,NA,100698
20,a-kal-la,reciever,NA,100698
21,ur-ru-ta,source,NA,100701
22,a-kal-la,reciever,NA,100701
23,ur-ru-ta,source,NA,100702
24,a-kal-la,reciever,NA,100702
25,ur-{d}ištaran-ta,source,NA,100703
26,a-kal-la,reciever,NA,100703
27,lugal-{geš#}kiri₆-ta,source,NA,100806
28,lugal-ezem,reciever,NA,100806
29,ur-{d}igi-zi-bar-ra-ta,source,NA,100864
30,ur-{d}ba-ba₆,reciever,NA,100864
31,ur#-{d}nin-mar{ki}-ta,source,NA,100956
32,ur-ab-ba,reciever,NA,100956
33,ur-nigar{gar},reciever,NA,100978
34,na-sa₆#-ta,source,NA,100978
35,lugal-gu₄-e-ta,source,NA,101082
36,ukken-ne₂,reciever,NA,101082
37,a-gu-ta,source,NA,101146
38,tab-ša-la,reciever,NA,101146
39,gu-du-du-ta,source,NA,101228
40,{d}šara₂-kam,reciever,NA,101228
41,ab-ba-sa₆-ga-ta,source,NA,101425
42,ur₂-ra#-dingir,reciever,NA,101425
43,lugal-iti-da-ta,source,NA,101427
44,ur-mes,reciever,NA,101427
45,ARAD₂-ta,source,NA,101469
46,lu₂-{d}nin-šubur,reciever,NA,101469
47,ku₃-ga-ni#-ta,source,NA,101891
48,a-kal-la,reciever,NA,101891
49,lu₂-du₁₀-ga-ta,source,NA,101976
50,ur-{d}ba-ba₆,reciever,NA,101976
51,lu₂-{d}na-ru₂-a-ta,source,NA,101999
52,ba-zi,reciever,NA,101999
53,na-ba-sa₆-ta,source,NA,102001
54,ur-{d}suen,reciever,NA,102001
55,lugal-lu₂-sa₆-sa₆-ta,source,NA,102025
56,ur-nig₂,reciever,NA,102025
57,ur-{d}nun-gal-ta,source,NA,102056
58,sukkal-di-de₃,reciever,NA,102056
59,lu₂-gi-na,reciever,NA,102081
60,ba-zi-ta,source,NA,102081
61,ba-zi-ta,source,NA,102083
62,lugal-mas-su,reciever,NA,102083
63,lu₂-dingir-ra-ta,source,NA,102120
64,ur-uš-gid₂-da,reciever,NA,102120
65,lu₂-dingir-ra-ta,source,NA,102188
66,ur-nigar{gar},reciever,NA,102188
67,{d}šul-gi-a-a-mu-ta,source,NA,102374
68,{d}šul-gi-iri-mu,reciever,NA,102374
69,ur-{d}nin-tu-ta,source,NA,102593
70,i₃-kal-la,reciever,NA,102593
71,ab-ba-sa₆-ga-ta,source,NA,102705
72,ur-nigar{gar},reciever,NA,102705
73,da-a-ga,reciever,NA,102732
74,ku₃-ga-ni-ta,source,NA,102732
75,ur-ru-ta,source,NA,102782
76,a-kal-la,reciever,NA,102782
77,a-hu-ni-ta,source,NA,102819
78,ur-nigar{gar},reciever,NA,102819
79,lu₂-du₁₀-ga-ta,source,NA,103046
80,a-kal-la,reciever,NA,103046
81,ur-ku₃-nun-na-ta,source,NA,103284
82,ab-ba-sa₆-ga,reciever,NA,103284
83,ab-ba-gi-na-ta,source,NA,103343
84,ur-{d}šul-pa-e₃-ke₄,reciever,NA,103343
85,lu₂-{d}šara₂-ta,source,NA,103938
86,im-ti-dam,reciever,NA,103938
87,ur-{d}ig-alim-ta,source,NA,104130
88,ur-{d}nin-geš-zi-da,reciever,NA,104130
89,{d}nisaba-an-dul₃-ta,source,NA,104148
90,ur-mes,reciever,NA,104148
91,lu₂-{d}šara₂-ta,source,NA,104464
92,lu₂-{d}šara₂-ke₄,reciever,NA,104464
93,i₃-kal-la-ta,source,NA,104479
94,ur-{geš}gigir,reciever,NA,104479
95,ša₃-da-ta,source,NA,104480
96,ur-{geš}gigir,reciever,NA,104480
97,ur₄-ša₃-ki-du₁₀-ta,source,NA,104584
98,ma-aš₂,reciever,NA,104584
99,ur-e₁₁-e-ta,source,NA,104716
100,u₃-ma-ni,reciever,NA,104716
101,ur-{geš}gigir,source,NA,104727
102,da-da-ga,reciever,NA,104727
103,na-ra-am-i₃-li₂-ta,source,NA,104781
104,be-li₂-i₃-li₂,reciever,NA,104781
105,gur₈-za-an-ta,source,NA,104824
106,lu₂-du₁₀-ga,reciever,NA,104824
107,ba-zi-ta,source,NA,104896
108,ma-ni,reciever,NA,104896
109,ur-{d}ba-ba₆-ta,source,NA,104954
110,lu₂-ba-a,reciever,NA,104954
111,ur-{d}ba-ba₆,source,NA,104974
112,ba-a,reciever,NA,104974
113,lugal-ušur₃-ta,source,NA,105095
114,al-la,reciever,NA,105095
115,lu₂-i₃-zu-ta,source,NA,105242
116,šeš-kal-la,reciever,NA,105242
117,ur-{d}šara₂-ta,source,NA,105313
118,da-da-ga,reciever,NA,105313
119,e₂-gal-e-si-ta,source,NA,105317
120,gu-du-du,reciever,NA,105317
121,ur-mes,reciever,NA,105337
122,a-gu-ta,source,NA,105337
123,a-ab-ba-ta,source,NA,105419
124,lu₂-{d}er₃-ra,reciever,NA,105419
125,lu₂#?-nam-tar-re-ta,source,NA,105594
126,ur-x-x,reciever,NA,105594
127,lugal-im-ru-a-ta,source,NA,105757
128,ur-{d}nin-geš-zi-da,reciever,NA,105757
129,{d}šara₂-kam-ta,source,NA,106130
130,za-ni-a,reciever,NA,106130
131,na-ra-am-i₃-li₂-ta,source,NA,106214
132,{d}utu-GIR₂@g-gal,reciever,NA,106214
133,lu₂#?-{d}inanna-ta,source,NA,106301
134,er₃-ra-ba-ni,reciever,NA,106301
135,a-hu-ni-ta,source,NA,106328
136,ur-nigar{gar},reciever,NA,106328
137,tu-ra-am-i₃-li₂-ta,source,NA,106400
138,NE-NE,reciever,NA,106400
139,ša₃-ku₃-ge-ta,source,NA,106451
140,i₃-kal-la,reciever,NA,106451
141,šeš-kal-la-ta,source,NA,106521
142,ur-{d}šara₂,reciever,NA,106521
143,ur-{d}šara₂-ta,source,NA,106556
144,a-kal-la,reciever,NA,106556
145,da-da-ga-ta,source,NA,106602
146,la-ni-mu,reciever,NA,106602
147,ur-{d}šara₂-ta,source,NA,106606
148,i₃-kal-la,reciever,NA,106606
149,da-da-ta,source,NA,106613
150,la-ni-mu,reciever,NA,106613
151,da-da-ta,source,NA,106614
152,la-ni-mu,reciever,NA,106614
153,u₃-ma-ni-ta,source,NA,106765
154,da-da-ga,reciever,NA,106765
155,lugal-inim-gi-na-ta,source,NA,106838
156,ur-{d}šara₂,reciever,NA,106838
157,ba-zi-ta,source,NA,107113
158,lugal-pa-e₃,reciever,NA,107113
159,ur-{d}li₉-si₄-ta,source,NA,107435
160,lugal-{geš}kiri₆,reciever,NA,107435
161,ARAD₂-ta,source,NA,107437
162,lugal-ezem,reciever,NA,107437
163,ARAD₂-ta,source,NA,107440
164,ur-nigar{gar},reciever,NA,107440
165,ARAD₂-ta,source,NA,107447
