PID,Text,Archive
P100625,1(u) 2(aš) še gur sa₂-du₁₁ {d}šara₂ iti 1(u) 2(diš)-kam ki gu-du-du-ta kišib₃ ka-ku₃ mu si-ma-num₂{ki} ba-hul,domesticated animal
P100641,x x x še gur lugal sag-nig₂-gur₁₁-ra-kam ša₃-bi-ta 8(aš) gur kišib₃ ur-{d}suen 2(aš) 1(barig) 5(ban₂) gur kišib₃ a-du-mu,domesticated animal
P100653,1(barig) 3(ban₂) dabin gu saga kišib₃ šeš-kal-la-ta zi-zi-dam,domesticated animal
P100761,pisan-dub-ba sag-nig₂-gur₁₁-ra ša₃-bi su-ga kas₄ šuš₃ i₃-gal₂,domesticated animal
P101014,1(diš) {uruda}ha-bu₃-da ša₃ umma{ki}-ta a-pi₄-sal{ki}-še₃ giri₃ [...]-ku₅ sukkal x-x-nanna ki al-lu-ta iti ki-siki-{d}nin-a-zu mu {d}šu-{d}suen lugal,domesticated animal
P101417,šu ba-ti iti ki-siki-{d}nin-a-zu mu us₂-sa ki-maš{ki} ba-hul 2(diš) {uruda}ha-bu₃-da ša₃ 1(u) 4(diš) ki ur-šu-ga-lam-ma-ta lu₂-{d}utu šu ba-ti ša₃ unu#{ki#} lu₂-{d}utu dumu ma-an-šum₂?,precious object
P103626,3(diš) amar maš-da₃-nita₂ u₄ 1(u)-kam ki lugal-amar-ku₃-ta lu₂-dingir-ra i₃-dab₅ iti ses-da-gu₇ mu en nun-e-{d}amar-{d}suen-ra-ki-ag₂ en eridu{ki} ba-hun 3(diš),wild animal
P103720,3(aš)# še# gur lugal ki# ur-sa₆-ga-ta ur-{d}a-šum₂-ma šu ba-ti gi₄-gi₄-dam iti ezem-me-ki-gal₂# mu us₂-sa e₂ puzur₄-iš-{d}da-gan ba-du₃ mu us₂-sa-bi,domesticated animal
P103935,2(diš) amar maš-da₃-nita₂ e₂-uz-ga mu-kuₓ(DU) wa-ta₂-ru-um sanga ur-{d}ba-ba₆ maškim u₄ 4(diš)-kam ki lugal-amar-ku₃-ta ba-zi iti ses-da-gu₇ mu en-nun-e-{d}amar-{d}suen-ra-ki-ag₂ en eridu{ki} ba-hun 2(diš),wild animal
P104232,šu ba-ti ša₃ puzur₄-iš-{d}da-gan iti ki-siki-{d}nin-a-zu min-kam mu si-mu-ru-um{ki} lu-lu-bu{ki} a-ra₂ 1(u) la₂ 1(diš)-kam-aš ba-hul,precious object
P104269,1(diš) u₈ ki en-um-i₃-li₂-ta du₁₁-ga i₃-dab₅ iti diri še-sag₁₁-ku₅ mu en {d}nanna kar-zi-da ba-hun du₁₁-ga dub-sar dumu lu₂-{d}nin-gir₂-su sipa na-gab₂-tum,domesticated animal
P104347,2(diš) amar maš-da₃-nita₂ u₄ 2(u) 7(diš)-kam ki in-ta-e₃-a-ta du₁₁-ga i₃-dab₅ iti u₅-bi₂-gu₇ mu ma₂-dara₃-abzu ba-ab-du₈ ur-mes dumu la-na kurušda,domesticated animal
P104784,5(diš) {kuš}e-sir₂ gu-dim₄ aktum₂ e₂-ba-an 3(diš) {kuš}e-sir₂ du₈-ši-a suhuš gub-ba e₂-ba-an kin ak lu₂-gu-la gaba-ri kišib₃ nu-ur₂-i₃-li₂ iti ezem-{d}nin-a-zu mu us₂-sa {d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ bad₃ mar-tu mu-ri-iq-ti-id-ni-im mu-du₃ 8(diš),leather object
P105830,3(diš) {anše}si₂-si₂-nita₂ mu aga₃-us₂-e-ne-še₃ ki na-ra-am-i₃-li₂-ta e₂-a-i₃-li₂ i₃-dab₅ ARAD₂-mu maškim iti maš-da₃-gu₇ u₄ 2(u) 7(diš) ba-zal mu us₂-sa ki-maš{ki} ba-hul,domesticated animal
P106194,1(barig) še a₂ [x] si-i₃-tum nig₂-[ka₉]-ak ki ur-šu-ga-lam-ma-ta ma₂-an-na in-da-gal₂ iti diri ezem-me-ki-gal₂ mu na-ru₂-a-mah ba-du₃ ma-an-[na] dumu# hu#-wa#-[wa],domesticated animal
P106232,2(diš) guruš sag-dub ašgab HI iti maš-da₃-gu₇-ta iti ses-da-gu₇-še₃ a₂-bi 2(geš₂) guruš ašgab HI u₄ 1(diš)-še₃ a-bala {geš}šinig-še₃ be-li₂-a-zu he₂#-dab₅ giri₃# lugal-iri-mu ki# lu₂#-gi-na-ta ba-zi mu en-mah-gal-an-na en {d}nanna ba-hun,domesticated animal
P106261,2(diš) {anše}si₂-si₂ munus šu-gid₂ mu ur-mah-še₃ u₄ 1(u) 6(diš)-kam ki ur-ku₃-nun-na-ta ba-zi giri₃ {d}nanna-ma-ba dub-[sar] iti diri ezem-{d}me-[ki]-gal₂ mu {d}šu-{d}suen lugal uri₅{ki}-ma-ke₄ na-ru₂-a-mah {d}en-lil₂ {d}nin-lil₂-ra mu-ne-du₃ 2(diš) {anše}si₂-si₂,domesticated animal
P107241,šabra ib₂-dab₅ mu en-mah-gal-an-na en {d}nanna ba-hun {d}amar-{d}suen nita kal-ga lugal uri₅{ki}-ma lugal an ub-da limmu₂-ba lugal-iti-da dub-sar dumu ur-{d}dumu-zi-da ARAD₂-zu,domesticated animal
P107274,zi-ga iti še-sag₁₁-ku₅ u₄ 3(u)-kam mu hu-uh₂-nu-ri{ki} ba-hul {d}amar#-{d}suen nita kal-ga lugal uri₅{ki}-[ma] lugal an ub-da [limmu₂-ba] lugal-[iti-da] dub-[sar] dumu ur#-[{d}dumu]-zi#-[da] ARAD₂-[zu],domesticated animal
P107277,zi-ga u₄ 3(u) la₂ 1(diš)-kam ki ab-ba-sa₆-ga iti ses-da-gu₇ mu {d}amar-{d}suen ur-bi₂-lum{ki} mu-hul [{d}]šul-gi nita kal-ga lugal# uri₅{ki}-ma na-ra-[am]-i₃-[li₂] sukkal i₃-du₈# ARAD₂-zu,domesticated animal
P107719,la₂-ia₃ 1(gešʾu) 8(geš₂) 1(u) 6(aš) 2/3(aš) gu₂ 5(diš) gin₂ gi-zi ur-mes in-da-gal₂ iti še-sag₁₁-ku₅ min-kam-ta iti ezem-mah u₄ 1(u) 5(diš) ba-zal-še₃ iti 9(diš) u₄ 1(u) 5(diš) mu ha-ar-ši{ki} ki-maš{ki} ba-hul,unknown
P107753,1(aš) gu₂ siki-gi na₄ sag nu-tuku-ta a₂ geš-gar-ra# geme₂ uš-bar-e-ne-še₃ kišib₃ ur-šu-ga-lam#-ma ki nu-ur₂-{d}suen-ta ba-zi iti ezem-an-na mu {d}amar-{d}suen lugal,domesticated animal
P107804,3(diš) dug kaš du a-kal-la 2(diš) na-silim 2(diš) šeš-kal-la# 1(diš) ur-mes 1(diš) lugal-gu₂-en#-e 7(diš) lu₂-{d}nin-ur₄-ra 2(diš) lu₂-eridu{ki} 1(diš) a₂-na-na  1(diš) lugal-u₂-šim-e  2(diš) {geš}guzza-ni  2(diš) ur-ab-ba-saga  3(diš) ha-la  5(diš) 1/2(diš) lugal-[x]-x-ni  2(diš) lugal-za₃-ge-si 1(diš) ARAD₂-mu 2(diš) na-ga nar 2(diš) ur-{d}šara₂ 1(diš) 1/2(diš) a₂-nin-ga₂-ta 3(diš) 1/2(diš) nimgir-di-de₃ 1(diš) lu₂#-nu?-ur₄-[x] 3(diš) lugal-mudra₅#? šu+nigin 4(u) 8(diš) 1/2(diš) dug kaš du gaba-ri kišib₃-ba u₄ 1(u) 6(diš)-kam  iti šu-eš-ša  mu en {d}nanna kar-zi-da ba-hun,precious object
