name,number of transactions
ab-ba-sa₆-ga,264
nu-ur₂-{d}suen,262
la-na,249
na-sa₆,223
šeš-da-da,220
{d}nanna-ma-ba,188
ur-{d}ba-ba₆,188
ur-mes,158
lu₂-{d}nin-gir₂-su,150
lu₂-{d}nanna,134
lu₂-dingir-ra,124
in-ta-e₃-a,123
ur-nigar{gar},115
nu-ur₂-{d}iškur,93
lu₂-u₁₈-um,83
a-hu-ni,83
wa-ta₂-ru-um,74
na-lu₅,73
dingir-dan,66
ur-sa₆-ga,61
lugal-a₂-zi-da,60
ur-{d}suen,58
gu₃-de₂-a,56
lugal-inim-gi-na,55
dingir-ba-ni,55
ur-ku₃-nun-na,53
ur-{d}šul-pa-e₃,50
ur-{d}lamma,49
šeš-kal-la,48
šu-e₂-a,47
hu-la-al,46
maš-tur,43
uz-tur,42
lu₂-{d}nin-šubur,41
ad-da-kal-la,41
{d}šul-gi-a-a-mu,40
lu₂-sa₆-ga,40
ur-{d}nin-gubalag,40
ur-{d}en-lil₂-la₂,39
{d}šul-gi-i₃-li₂,38
na-ap-la-num₂,38
{d}suen-a-bu-šu,38
{d}nanna-kam,37
igi-kar₂,37
šu-ma-ma,36
lu₂-ša-lim,36
šar-ru-um-i₃-li₂,36
ARAD₂-mu,36
šu-i₃-li₂,35
lu₂-bala-sa₆-ga,33
{d}en-ki,32
a-da-lal₃,32
ur-{d}iškur,31
{d}šu-{d}suen-la-ma-ha-ar,31
{d}en-lil₂-la₂,31
a-a-kal-la,31
šu-{d}šul-gi,30
ur-šu,30
a-hu-we-er,29
šu-eš₁₈-dar,29
{d}šara₂-kam,29
ku₃-{d}nanna,28
ur-šu-ga-lam-ma,28
hu-li-bar,27
ur-{d}li₉-si₄,26
be-li₂-du₁₀,26
lugal-ma₂-gur₈-re,25
ARAD₂-{d}nanna,25
ra-ši,24
lugal-ezem,23
zu-ba-ga,23
li-ba-nu-uk-ša-ba-aš,23
ar-ši-ah,23
ha-ba-lu₅-ge₂,22
i₃-li₂-{d}da-gan,22
a-hu-wa-qar,22
lugal-me-lam₂,22
AN,22
{d}amar-{d}suen,21
uš-mu,21
lu₂-du₁₀-ga,21
kal-la-mu,20
lugal-amar-ku₃,20
šu-er₃-ra,20
da-a-a-ti,20
na-ap-la-nu-um,19
er₃-re-šum,19
a-ba-{d}en-lil₂-gin₇,19
ŠIM,19
inim-{d}nanna,18
ur-{d}ig-alim,18
nu-ur₂-i₃-li₂,17
ur-sukkal,17
lu₂-{d}suen,17
ur-{d}dumu-zi-da,17
{d}nanna-igi-du,16
en-um-i₃-li₂,16
lu₂-{d}inanna,16
li-ba-an-aš-gu-bi,16
ur-tilla₃,15
ur-nig₂,15
a-mur-dingir,15
ma-šum,15
šu-{d}suen,15
šu-{d}nin-šubur,15
i-mi-id-dingir,15
nig₂-mu-mu-kal-le,14
ki-{d}suen,14
bur-ma-ma,14
ša₃-gu₄,14
ur-{d}nin-kur-ra,14
la-la-mu,14
ip-hur,13
gu₄-geš,13
nu-hi-dingir,13
a₂-bi₂-li₂,13
{d}nanna-ki-ag₂,13
gu-za-ni,13
iš-me-dingir,13
a-hu-a,13
la-ma-har,13
ib-ni-{d}iškur,12
ba-za-za,12
ba-la-la,12
kal-la,12
kas₃-pu-ša,12
ur-tilla₅,12
lugal-i₃-mah,12
ur-{d}šul-gi-ra,12
{d}nanna-zi-ša₃-gal₂,12
na-bi₂-{d}suen,12
a-hu-ma,12
bu-ša-am,12
za-ri₂-iq,12
en-{d}nanše-ki-ag₂,12
hu-zi-ri,12
ur-e₂-an-na,12
en-mah-gal-an-na,12
suhuš-ki-in,11
lu₂-{d}šara₂,11
lu₂-{d}da-mu,11
i-šar-pa₂-dan,11
ur-{geš}gigir,11
ur-tum-ma-al,11
wa-at-ra-at,11
{d}šul-gi-iri-mu,11
uri₅{ki}-ki-du₁₀,11
al-la-mu,11
na-ra-am-{d}iškur,11
da-a-a,11
du₁₀-i₃-li₂,11
a-bu-du₁₀,11
na-silim,11
ur-{d}lugal-banda₃{da},11
ab-ba-kal-la,11
mar-hu-ni,10
ur-me-me,10
šu-{d}iškur,10
du₁₁-ga-zi-da,10
ur-{d}nanše,10
en-ša₃-ku₃-ge,10
šu-eš₁₈?-dar?,10
ha-ni,10
šar-ru-um-ba-ni,10
lu₂-uru₁₁{ki},10
er₃-ra-ba-ni,10
sa₃-si₂,10
la-gi-ip,9
ba-gu-um,9
{d}i-bi₂-{d}suen,9
in-da-a,9
ur-{d}dam-gal-nun-na,9
kur-bi-la-ak,9
u₂-u₂-mu,9
id-da-a,9
i-din-{d}iškur,9
šu-zu,9
lu₂-{d}ba-ba₆,9
a-na-ti,9
ad-da-mu,9
ip-qu₂-ša,9
la-ni,8
ur-{d}šara₂,8
nu-ur₂-{d}da-gan,8
lugal-iti-da,8
lugal-ra,8
šu-ku-bu-um,8
ur-{d}tilla₃,8
ur-šar-ru-gin₇,8
šu-{d}en-lil₂,8
šul-ga₂-a-ad,7
nu-ur₂-{d}suen#,7
ma-at-i₃-li₂,7
du-u₂-du,7
ša₃-kal,7
ga-da-bi,7
u₂-ta₂-mi-šar-ra-am,7
lum-ma,7
lugal-ku₃-zu,7
a-bi₂-si₂-im-ti,7
i-din-er₃-ra,7
ku₃-{d}nin-gal,7
i-di₃-{d}iškur,7
la-[na,7
šu-{d}iš-ha-ra,7
ur-{d}nin-gal,7
kal-{d}šul-gi,7
ma-num₂-ki-{d}šul-gi,7
ba-zi,7
{d}šu-{d}suen-i₃-li₂,7
a-ha-ni-šu,7
lugal-he₂-gal₂,7
nu-ur₂-{d}utu,7
{d}nin-lil₂-ama-mu,7
a₂-bi₂-li₂-a,7
{d}en-lil₂-zi-ša₃-gal₂,7
e₂-um,6
ur-{d}gilgamesₓ(|BIL₃.GA.MES|),6
ab-ba-mu,6
me-{d}ištaran,6
a₂-bi₂-lum-ma,6
da-da-a,6
hal-li₂,6
ur-{d}šul-gi,6
giri₃-ni-i₃-sa₆,6
i-di₃-e₂-a,6
a-gu-a,6
šeš-zi-mu,6
{d}utu-ba-ni,6
da-da-ga,6
ur-{d}amar-{d}suen,6
la-ma-ha-ar,6
hal-li₂-a,6
e₃-lu-num₂,6
i₃-li₂-be-li₂,6
ri-ba-ga-da,6
da-a-ti,6
ar-pa₂-tal,6
ur-sa₆-sa₆-ga,6
ka₅-a-mu,6
ib-ni-dingir,6
lu₂-{d}en-ki,6
aq-ba-ni,5
šu-da-da,5
na-du-be-li₂,5
i-ku-mi-šar,5
a-ri-du-bu-uk,5
[...]-a,5
lu₂-gi-na,5
ša-at-{d}suen,5
ša₃-ta-ku₃-zu,5
ur-{d}ištaran,5
šu-{d}utu,5
i-di₃-a,5
za-an-nu-um,5
ur-nigar,5
{d}nanna-i₃-gi,5
ki-ri-ib-ul-me,5
{d}šul-gi-ba-ni,5
e₂-a-ba-ni,5
{d}šul-gi-{d}lamma-mu,5
a-hu-šu-ni,5
bu-du-ur₂,5
pu₃-um-wa-qar,5
SI-A-a,5
nigar{gar}-ki-du₁₀,5
šu-ab-ba,5
{d}šul-gi-ra,5
lu₂-[...],5
nu-ur₂-eš₁₈-dar,5
dingir-a-zu,5
tah-ša-tal,5
a₂-bi₂-lum,5
na-ra-am-i₃-li₂,5
la-gi-pu-um,5
bi₂-zu-a,5
al-la,5
{d}utu-du₁₀,5
lugal-mu,5
lu₂-{d}utu,5
ur-{d}šar-ru-gin₇,5
geme₂-{d}en-lil₂-la₂,5
nam-zi-tar-ra,5
na-ha-pa₂-tal,5
a-lu-a,5
ba-a-a,5
{d}suen-ba-ni,5
i-ri-ib,5
ur-{d}nin-geš-zi-da,5
ur-{d}nin-mug,5
en-dingir-mu,5
ad-da-gi-na,5
an-nu-ni-tum,5
be-li₂-i₃-li₂,5
be₆-bu-ru,5
ur-{d}šu-{d}suen,5
i-bi₂-{d}suen,5
ur-uš-gid₂-da,4
dingir-ra-bi₂,4
zu-hu-tum,4
ur-dam,4
ri-mi-dingir,4
hu-na-zi,4
di-ku₅-i₃-li₂,4
sipa-si-in,4
a-hu-du₁₀,4
hu-un-{d}šul-gi,4
a-da-a,4
{d}nanše-kam,4
ur-{d}nanna,4
te-u₃,4
nin-ha-ma-ti,4
ha-la-a,4
gu-ra-a,4
lu₂-{d}nanna#,4
lugal-nam₂-mah,4
zu-u₂-zu,4
šu-ru-uš-ki-in,4
[{d}]suen#-a-bu-šu,4
{d}lamma-igi-du,4
ur-{d}nin-sun₂,4
nig₂-{d}ba-ba₆,4
nam-ha-ni-bi,4
i-di₃-er₃-ra,4
i-din-{d}suen,4
na-ah-ba-tum,4
im-lik-e₂-a,4
