Word, Frequency, List of Sumerian Words
year, 1383, ['mu']
moon, 1373, ['itud', 'usakar']
unit, 1331, ['iku', 'ul', 'PI', 'mana', 'bariga', 'dana', 'kuli', 'kuš', 'sila', 'giŋ', 'gur', 'gurlugal']
place, 887, ['ŋar', 'ki', 'ku']
king, 785, ['lugal']
barley, 485, ['še', 'hazin', 'in.nu.HA']
sun, 484, ['ud']
bad, 473, ['hulu']
hand, 444, ['tibir', 'šu']
approach, 423, ['teŋ']
child, 315, ['dumu']
hire, 303, ['huŋ']
textile, 302, ['tug', 'guʾe']
scribe, 282, ['dubsar']
seize, 261, ['dab']
foot, 251, ['ŋiri']
delivery, 239, ['mu.DU']
follow, 230, ['us']
heart, 228, ['šag']
seal, 223, ['kišib']
priest, 219, ['lumumun', 'nusaŋ', 'nuʾešak', 'išib', 'en', 'enzid', 'lumah', 'ennun']
male, 200, ['nita', 'ŋuruš']
flour, 182, ['eša', 'zid', 'zidgu', 'zidsig']
pulse, 175, ['gu']
build, 174, ['du']
total, 164, ['niŋin', 'šuniŋin']
beer, 162, ['kaš']
person, 158, ['lu']
and, 148, ['u']
side, 148, ['us', 'dag', 'zag']
house, 144, ['e', 'ŋa']
administrator, 143, ['šarrabdu', 'šabra', 'maškim']
reed, 143, ['gi', 'giruš', 'gigid', 'gizi']
small, 143, ['lal', 'tur']
slave, 142, ['arad']
go, 140, ['du', 'ere', 'ŋen']
arm, 126, ['a']
rare, 118, ['sag', 'kal']
festival, 115, ['ešeš', 'ezem', 'akiti']
overseer, 106, ['nubanda', 'ugula']
strong, 103, ['kalag']
ruler, 101, ['ensik']
expenditure, 99, ['ziga']
roast, 98, ['sa']
times, 96, ['ara']
turn, 95, ['bala', 'gi', 'gur']
tufted, 90, ['guz']
wall, 84, ['bad']
be, 81, ['me', 'ŋal']
create, 79, ['dim']
offerings, 73, ['šuagina', 'sadug']
quarter, 71, ['anubda']
sky, 71, ['an']
field, 70, ['ašag']
four, 70, ['limmu']
land, 70, ['mada', 'iginim', 'kalam']
young, 68, ['amar']
garlic, 67, ['šum']
garden, 61, ['kirimah', 'sar']
hair, 60, ['siki']
official, 60, ['šatam', 'saŋŋa', 'kuš', 'dubsarmah', 'zabardab', 'kurunakgal', 'guzala', 'lukala', 'sukkalmah']
fish, 59, ['gir', 'kud']
head, 59, ['saŋ', 'saŋdu']
garment, 57, ['barsig', 'niŋlam', 'agiaʾum', 'rabatum', 'bardul']
westerner, 55, ['MAR.TU']
pass, 50, ['zal']
acquire, 49, ['tuku']
fattened, 48, ['niga']
ghee, 48, ['inun']
semolina, 48, ['dabin']
ship, 48, ['ma']
ration, 47, ['šeba', 'sikiba', 'šukur']
weaver, 47, ['ad.KID', 'ušbar']
exceed, 46, ['dirig']
archivist, 45, ['bisaŋdubak']
seed, 45, ['šenumun', 'numun', 'šunumun']
woman, 45, ['munus']
~animal, 45, ['šugid', 'gurgur', 'nua']
chair, 44, ['guza']
worker, 44, ['geme', 'hedab', 'ziʾa']
secretary, 43, ['sukkal']
bread, 42, ['ninda', 'gagartum']
spread, 42, ['du']
big, 41, ['gal']
arrears, 39, ['laʾu']
two-thirds, 39, ['šanabi']
~cloth, 39, ['šar']
cut, 38, ['tar', 'kud', 'zi']
farmer, 38, ['engar']
fattener, 37, ['kurušda']
oil, 36, ['i', 'iŋeš']
pair, 36, ['eban']
basket, 35, ['ŋirlam', 'bisaŋ', 'masab', 'bandudu', 'dupsik', 'gurdub', 'hal']
face, 35, ['igi']
cowherd, 34, ['unud']
emmer, 33, ['imŋaŋa', 'ziz']
pot, 32, ['ŠID', 'dug', 'hal']
weight, 32, ['kila']
account, 31, ['niŋ₂.ŠID']
affliction, 30, ['duga']
people, 30, ['erin']
kid, 29, ['ašgar']
shepherd, 29, ['sipad']
soldier, 29, ['gardu', 'agaʾus']
spouse, 29, ['dam']
stand, 29, ['gub', 'udda']
